,Site,TrtYr,Treatment,Factor,Year,Habitat,Depth,N,rich,abundance,H,D1,J
29,IN2,Invaded_2018,Invaded,b,2018,Phragmites,58,NA,20,313,2.006234575,0.782757811,0.669697554
30,IN3,Invaded_2018,Invaded,b,2018,Phragmites,22.3,6,30,308,1.686804249,0.566157868,0.49594424
31,IN4,Invaded_2018,Invaded,b,2018,Phragmites,28.7,6,36,757,1.205307138,0.400576565,0.336347361
32,IN5,Invaded_2018,Invaded,b,2018,Phragmites,42,6,33,340,2.222409731,0.809844291,0.635608444
33,IN6,Invaded_2018,Invaded,b,2018,Phragmites,26.3,6,24,274,1.790432124,0.688821994,0.563373756
34,IN7,Invaded_2018,Invaded,b,2018,Phragmites,70.5,6,32,355,2.36058748,0.829549693,0.68112157
35,IN8,Invaded_2018,Invaded,b,2018,Phragmites,48.3,6,20,756,0.891962637,0.32313975,0.297744443
36,INOW,Invaded_2018,Invaded,b,2018,Phragmites,77,5,19,620,0.90308027,0.35628512,0.306707076
37,RES1,Treated_2018,Treated,c,2018,Treated,26.7,6,15,2536,0.745002102,0.506348332,0.275106459
38,RES2,Treated_2018,Treated,c,2018,Treated,27.2,6,22,5055,0.422927321,0.162260476,0.136823524
39,RES3,Treated_2018,Treated,c,2018,Treated,29.7,6,23,2651,0.208877056,0.059307314,0.066616948
40,RES4,Treated_2018,Treated,c,2018,Treated,35.3,5,16,1920,0.166333507,0.049230686,0.059992132
41,RES5,Treated_2018,Treated,c,2018,Treated,21.7,4,11,2037,0.239922438,0.082150804,0.100055428
42,RES6,Treated_2018,Treated,c,2018,Treated,51,6,18,3327,0.19656376,0.056757253,0.068006394
43,RES7,Treated_2018,Treated,c,2018,Treated,24,6,20,3122,0.361249637,0.139144161,0.120588091
44,RES8,Treated_2018,Treated,c,2018,Treated,23.2,6,12,2151,0.119561438,0.034038637,0.048115062
45,RESOW,Treated_2018,Treated,c,2018,Treated,49.7,5,17,425,0.983134036,0.386635294,0.347003179
46,UNM1,Remnant_2018,Remnant,a,2018,Meadow,16.3,6,26,1242,0.713590742,0.263780303,0.219020748
47,UNM2,Remnant_2018,Remnant,a,2018,Meadow,16.7,6,18,255,1.061928072,0.403998462,0.367401899
48,UNM3,Remnant_2018,Remnant,a,2018,Meadow,7,6,27,129,2.335371164,0.806922661,0.708582147
49,UNM4,Remnant_2018,Remnant,a,2018,Meadow,15,6,26,2253,0.501003997,0.172323572,0.153771993
50,UNM5,Remnant_2018,Remnant,a,2018,Meadow,24.7,6,37,227,2.544054352,0.839177939,0.704545053
51,UNM6,Remnant_2018,Remnant,a,2018,Meadow,32.8,6,31,619,1.586268126,0.596678681,0.461931868
52,UNOW,Remnant_2018,Remnant,a,2018,Emergent,75,5,12,1506,0.447117146,0.162403066,0.179933176
53,UNT1,Remnant_2018,Remnant,a,2018,Emergent,34.8,6,34,387,2.129410039,0.757513237,0.603854888
54,UNT2,Remnant_2018,Remnant,a,2018,Emergent,36.2,6,27,235,2.091302877,0.769615211,0.634528638
