Site,Treatment,Year,Habitat,Depth,N,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Lampyridae,Chrysomelida,Nitidulidae,AnthiciLarv,CocciLarvae,ErotLarvae,Collembola,Cecidomyiida,Sciaridae,Scatopsidae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Agromyzidae,Anthomyzidae,Drosophilida,Muscidae,Anthomyiidae,Calliphorida,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Baetidae,Ephemerellid,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Megaspilidae,Scelionidae,Platygastrid,Braconidae,Ichneumonida,Pompilidae,Formicidae,Diapriidae,Sphecidae,Eurytomidae,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Coccoidea,Hemerobiidae,Sisyridae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Limnephilida,Psocoptera,Cosmopterigi,Gelechiidae,Gracillariid,Noctuidae,Crambidae
RES4,Treated,2017,Treated,50.7,4,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,797,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,6,36,0,0,0,0,0,0,0,0,0,0
RES5,Treated,2017,Treated,32.2,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0
RES6,Treated,2017,Treated,55.5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0
RES7,Treated,2017,Treated,40.3,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
RES8,Treated,2017,Treated,66.8,4,13,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,440,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
RES9,Treated,2017,Treated,75.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,11,0,0,0,1,0,0,0,0,0,0,0
UNM1,Uninvaded,2017,Meadow,27.3,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,88,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,1,0,5,2,0,2,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,3,10,0,0,0,0,0,0,0,3,0,0
UNM2,Uninvaded,2017,Meadow,32.3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,2017,Meadow,21.2,4,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,186,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0
UNM4,Uninvaded,2017,Meadow,17.0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,376,1,0,8,0,1,4,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UNT9,Uninvaded,2017,Meadow,77.0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,3,7,11,1,0,0,0,0,0,0,0
UNT1,Uninvaded,2017,Emergent,37.7,4,4,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,45,2,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,65,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UNT2,Uninvaded,2017,Emergent,36.5,4,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,12,2,0,3,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UNT3,Uninvaded,2017,Emergent,47.3,4,20,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,600,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,9,5,1,0,0,0,0,4,0,0,0,0
UNT4,Uninvaded,2017,Emergent,44.0,4,75,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7,0,0,0,0
IN1,Invaded,2018,Phragmites,23.3,6,15,0,0,0,1,13,0,4,0,1,0,0,0,1,0,5,1,0,1,2,1,0,0,1,13,212,1,0,0,0,0,7,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,7,0,3,0,1,0,4,0,0,0,0,0,0
IN2,Invaded,2018,Phragmites,58.0,6,24,0,0,0,0,5,0,5,0,2,1,0,2,0,0,0,0,0,3,0,1,0,0,1,0,128,44,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,23,3,0,4,0,0,0,0,8,0,0,0,0,0
IN3,Invaded,2018,Phragmites,22.3,6,0,0,0,1,0,5,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,8,201,4,0,0,0,0,2,0,0,0,6,0,0,0,0,5,1,2,0,9,7,0,0,0,0,0,1,0,1,1,1,2,0,0,0,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,17,2,0,0,0,1,1,1,0,0,0,0,0,0
IN4,Invaded,2018,Phragmites,28.7,6,1,0,0,2,0,6,0,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,24,584,3,0,8,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,2,3,3,0,1,1,1,0,0,0,0,0,1,0,0,0,3,29,0,0,0,0,0,9,1,18,5,0,4,0,0,0,17,10,0,0,0,0,1
IN5,Invaded,2018,Phragmites,42.0,6,17,0,0,0,0,8,0,3,0,2,0,0,2,2,0,0,0,5,1,0,0,0,0,12,1,117,61,2,0,0,0,2,1,0,0,0,0,0,0,1,1,2,3,0,0,0,0,1,0,0,1,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,62,0,1,3,0,0,1,8,3,0,0,0,0,0
IN6,Invaded,2018,Phragmites,26.3,6,11,0,0,2,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,140,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,10,4,5,3,0,0,0,3,57,0,0,0,0,0
IN7,Invaded,2018,Phragmites,70.5,6,21,0,1,0,0,1,0,7,1,1,0,0,8,0,0,0,1,0,0,0,1,0,0,4,0,125,56,9,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,4,2,30,0,0,5,0,0,2,17,24,1,0,0,1,0
IN8,Invaded,2018,Phragmites,48.3,6,15,0,0,0,0,0,0,6,0,5,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,620,11,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,30,0,6,0,0,0,0,30,5,0,0,0,0,0
IN9,Invaded,2018,Phragmites,77.0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,26,494,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,8,0,0,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,48,6,0,0,0,0,0,1,0,0,0,0
RES1,Treated,2018,Treated,26.7,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1292,1227,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1
RES2,Treated,2018,Treated,27.2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129,4620,0,0,0,0,0,14,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,6,2,209,40,0,1,0,0,0,0,0,0,0,13
RES3,Treated,2018,Treated,29.7,6,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25,2571,0,1,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,5,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,3,15,0,4,0,0,0,0,0,0,0,4
RES4,Treated,2018,Treated,35.3,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,20,3,0,0,3,0,0,0,0,0,0,2
RES5,Treated,2018,Treated,21.7,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1951,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,22,37,0,0,0,0,0,0,0,0,0,0
RES6,Treated,2018,Treated,51.0,6,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,3231,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,4,4,3,26,0,7,8,0,0,0,0,0,0,1
RES7,Treated,2018,Treated,24.0,6,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,129,2893,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,4,67,0,3,2,1,0,0,0,0,0,0
RES8,Treated,2018,Treated,23.2,6,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0
RES9,Treated,2018,Treated,49.7,5,37,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,330,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,13,4,0,2,0,0,0,0,0,0,0,0
UNM1,Uninvaded,2018,Meadow,16.3,6,8,0,0,0,0,2,0,0,0,2,0,0,7,3,0,1,0,3,0,1,0,0,0,0,80,1062,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,32,0,0,0,0,0,0,0,1,8,0,1,0,1,1,1,0,0,0,0,0,1
UNM2,Uninvaded,2018,Meadow,16.7,6,4,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,195,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,2018,Meadow,7.0,6,6,0,2,1,1,2,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,9,51,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,1,0,0,0,1,2,0,0,6,19,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0
UNM4,Uninvaded,2018,Meadow,15.0,6,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,45,54,0,0,0,0,0,23,4,0,0,1,0,0,0,0,0,1,1,0,0,0,3,1,0,0,4,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2048,19,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,1
UNM5,Uninvaded,2018,Meadow,24.7,6,4,0,0,0,0,1,0,1,0,4,0,0,0,6,0,3,0,0,0,3,0,2,0,0,23,79,0,0,0,0,0,4,1,1,0,0,3,0,0,0,9,2,1,0,1,3,1,3,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,1,0,32,13,2,3,0,0,0,0,0,0,8,1,1,0,0,1,3,0,0,0,1,0,0
UNM6,Uninvaded,2018,Meadow,32.8,6,89,0,2,0,0,6,0,1,0,0,0,0,2,3,0,2,0,0,0,0,1,0,0,0,14,380,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,8,4,0,0,0,0,4,3,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,27,2,0,8,0,0,0,1,1,29,12,0,1,0,3,1,0,0,0,1,0,0,0
UNT9,Uninvaded,2018,Emergent,75.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1377,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,14,0,8,4,0,0,0,0,0,0,0
UNT1,Uninvaded,2018,Emergent,34.8,6,5,0,0,0,2,4,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,12,177,45,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,4,4,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,0,0,1,7,22,0,2,0,0,1,15,18,40,0,0,2,0
UNT2,Uninvaded,2018,Emergent,36.2,6,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,1,0,0,1,97,10,0,0,0,0,1,0,0,0,3,0,0,0,0,8,0,1,0,0,6,2,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,1,9,52,2,0,0,2,0
