Site,Treatment,Year,N,Canopy.Height,Water.D,Water.Temp,Litter,Water,Standing.Dead,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CLAMARIS,Chara.spp.,Cornus.sp.1,ELEQUADR,Eleocharis.Spp,ELOCANAD,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,JUNBREVI,LYSTHYRS,LYTSALIC,NAJMINOR,NYMODORA,PHRAUSTR,POLAMPHI,POLAMPLI,Polygonum.Spp,PONCORDA,POTGRAMI,POTILLIN,Potemogeton.sp,PROPALUS,SAGLATIF,Sagitarius.sp,SCHTABER,SCIACUTU,SCIMICRO,SCHPUNGENS,Solidago.Spp.,SPAEURYC,TYPHA.SPP,Unk.Forb,UTRINTER,UTRVULGA,Vetch.sp,ZIZPALUS,Araneae,Curculionidae,Staphylinidae,Carabidae,Anthicidae,Erotylidae,Cryptophagidae,Latridiidae,Phalacridae,Coccinellidae,Lampyridae,Nitidulidae,AnthiciLarv,CocciLarvae,ErotLarvae,Collembola,Cecidomyiidae,Sciaridae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Chaoboridae,Dolichopodidae,Empididae,Ephydridae,Carnidae,Sciomyzidae,Chloropidae,Agromyzidae,Drosophilidae,Muscidae,Anthomyiidae,Calliphoridae,Stratiomyidae,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Ephemerellidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronidae,Megaspilidae,Scelionidae,Platygastridae,Braconidae,Ichneumonidae,Pompilidae,Formicidae,Eurytomidae,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Libellulidae,Lestidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Polycentropodidae,Phryganeidae,Limnephilidae,Psocoptera,Cosmopterigidae,Noctuidae,Crambidae,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RES1,Treated,2018,6,152.7,26.7,26.8,1.7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,23.7,0,0,8.4,0,0,0,0,0,8.3,25,0,11.1,4.2,0,0,0.02247191,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0.2655844,0,0,0,0,0.05405406,0,0.5,0,0,0,0,0,0,0.3333333,0,0,0,0,0.03703704,0,0,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.0483871,0,0.004784689,0,0,0,0,0,0,0,0.07692308,
RES2,Treated,2018,6,132.3,27.2,26.6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,27.7,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0.03370786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.0998452,1,0,0,0,0,0.3783784,0,1,0,0.3333333,0,0,0,0,0,0,0.1111111,0,0,0.03703704,0,0.25,0.06666667,0.3333333,0,0,0.2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.4166667,1,0.09677419,0.06060606,1,0.5970149,0.125,0,0,0,0,0,1,
RES3,Treated,2018,6,166,29.7,29.2,8.3,49.7,2,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0.3,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7,0,0,0.8,0,0,0.01123596,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.01934985,0.5564935,0,0.1111111,0,0,0.05405406,0,0,0,0,1,0,0.3333333,0,0,0.3125,0.2222222,0,0,0.07407407,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.0483871,0.03030303,0.01435407,0.2238806,0.5,0,0,0,0,0,0.3076923,
RES4,Treated,2018,5,82.7,35.3,29.7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,52.7,0,0,0,0,0,0.5,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.007739938,0.4051948,0,0,0,0,0.02702703,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.000488281,0,0,0,0,0,0,0.03030303,0.09569378,0.04477612,0,0.375,0,0,0,0,0.1538462,
RES5,Treated,2018,4,114,21.7,27.7,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,59.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.7,0,0,0,0,0,0,0,5,16.7,0,1.2,0,0,0,0.06741573,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.01083591,0.4222944,0,0,0,0,0.02702703,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000976563,0,0,0,0,0,0.01612903,0.03030303,0.1052632,0.5522388,0,0,0,0,0,0,0,
RES6,Treated,2018,6,129.3,51,25,1.7,16,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,4.2,25.3,0,0,0.2022472,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.08333334,0.009287925,0.6993507,0,0,0,0,0.08108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000488281,0,0.5,0,0.25,0,0.06451613,0.1212121,0.01435407,0.3880597,0.875,1,0,0,0,0,0.07692308,
RES7,Treated,2018,6,76.7,24,24.8,0,16,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13.5,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,11,0,0,24.5,10,0,0,0.03370786,0,0,0,0.1538462,0,0,0.2,0,0,0,0,1,0,0,0,0,0.5,0,0.0998452,0.6261905,0,0,0,0,0,0,0.5,0,0,0,0,0.3333333,0,0.6666667,0,0,0,0,0.1481481,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0.08333334,0,0,0.06060606,0.01913876,1,0.375,0.25,0.03333334,0,0,0,0,
RES8,Treated,2018,6,142,23.2,24.6,0.8,6.7,0.3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,24.5,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0.7,0,0,19.3,0,0,5,10.8,0,0,20.2,0,0,0.04494382,0.5,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.0123839,0.4575758,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0.1481481,0,0,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483871,0,0.009569378,0.04477612,0,0,0,0,0,0,0,
RESOW,Treated,2018,5,118.7,49.7,26.8,0,50.3,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0.3,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,3.3,0,16.7,0.4157303,0,0,0,0,0,0,0.2,0,0.125,0,0,0,0.2,0,0,0,0.5,0,0.001547988,0.07142857,0,0,0,0,0.1081081,0,0,0,0,0,0,0.6666667,0,0,1,0,0,0,0.1111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0.06060606,0.06220096,0.05970149,0.25,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83146064,1,1,0,0.38461544,0,0,0.6,0,0.375,0,0,1,0.4,0,0.2,0,2.5,0.08333334,1.260835911,4.50411267,0,0.1111111,0,0,0.72972976,0,2.5,0,0.3333333,1,0,1.5555555,0,1,1.3125,0.3333333,0,0,0.62962952,0,0.5,0.20000001,0.3333333,0,0,0.2,0.5,0,2,0,0,0,2,0,0,0.001953125,0.0625,0.5,0,0.75000004,1.5,0.32258065,0.39393937,1.325358907,2.91044773,2.125,1.625,0.03333334,0,0,0,1.61538466,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNM1,Remnant,2018,6,123.3,16.3,21.3,16.7,16.7,3.3,15,0,0,7,5.8,0,0,27,0,10,0,0,2.5,0,0,0,0,0,0,0,0.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08988764,0,0,0,0.1538462,0,0,0.4,0,0.875,0.5,0.1666667,0,0.6,0,0.2,0,0,0,0.0619195,0.2298701,0,0,0.125,0,0.2972973,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.07407407,0,0,0.2,0,0,0,0.2,0,0.1666667,0,0,0,0,0,0,0,0.003417969,1,0,0,0,0,0.01612903,0.2424242,0,0.01492537,0.125,0.125,0.03333334,0,0,0,0.07692308,
UNM2,Remnant,2018,6,121,16.7,21.9,33.3,15,0.1,11.7,0,0,5,10,0,0,6.7,0,0,10.7,0,0.8,0,0,0,0,2.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0.04494382,0,0,0.5,0.1538462,0.1428571,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.01934985,0.04220779,0,0,0,0,0.05405406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666667,0,0.2,0,1,0,0,1,0,0,0,0,0,0,0,0.125,0,0.375,0,1,0,0.06060606,0,0.05970149,0,0,0,0,0,0,0,
UNM3,Remnant,2018,6,102,7,22.8,41.7,10,10.8,10,0.4,0.1,0.8,10,0,0,0,0,0,10.8,0,1.8,0,1.3,0,0,3.7,3.3,1.7,0,1.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.06741573,1,0.5,0.5,0.1538462,0.1428571,0,0,1,0.25,0.1666667,0.1666667,0,0,0,0,0,0,0,0.006965944,0.01103896,0,0,0.25,0,0,0,0,0.1666667,0,0,1,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0.2,0,1,0,1,0,1,1,0,0,0.002929688,0.59375,0,0,0.08333334,0,0,0.1212121,0,0,0,0,0,0,0,1,0,
UNM4,Remnant,2018,6,153.3,15,22.3,1.7,10,0,88.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0.3,0,0.3,0,0.02247191,0,0.5,0,0,0,0,0.2,0,0,0.1666667,0,0,0,0,0,0,0,0,0.03482972,0.01168831,0,0,0,0,0.6216216,1,0,0.1666667,0,0,0,0,0.5,0.3333333,0,0,0,0.75,0.03703704,0,1,0.06666667,0,0.2,0,0.6,0.5,0,1,0,0,0,0,0,0.5,1,0.59375,0,0,0,0,0,1,0.004784689,0,0,0,0,0,0,0,0.07692308,
UNM5,Remnant,2018,6,122.7,24.7,25.8,24.5,28.7,0.8,5,0,0,11.8,0.3,0,0,5.8,8.3,5,6.7,0,0.3,0,0,0,0,0,0,3.7,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,1.2,0,0,0,0.04494382,0,0,0,0.07692308,0.1428571,0,0.8,0,0,1,0.5,0,0,0,0.6,0,1,0,0.01780186,0.01709957,0,0,0,0,0.1081081,0.25,0.5,0,1,0,0,1,1,0.3333333,0,0.1111111,0.4285714,0.25,0.1111111,0,0,0.06666667,0.3333333,0,0,0,0,0.1666667,0,1,0,0,1,1,0,0.015625,0.40625,1,0.375,0,0,0,0.2424242,0.004784689,0.01492537,0,0.125,0.1,0,0,0,0,
UNM6,Remnant,2018,6,158.3,32.8,25.9,0.8,63.7,1.2,2.8,0,0,1.2,0,0,0,18.3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,1,1,0,0,0.4615385,0.1428571,0,0,0,0.25,0.5,0.3333333,0,0,0,0,1,0,0,0.01083591,0.08225108,0,0,0,0,0.1891892,0,0,0.1666667,0.3333333,0,0,0,0,0,0,0.8888889,0.5714286,0,0,0,1,0.2,0,0.2,0,0.4,0,0.3333333,0,0,0,0,0,0,0,0.01318359,0.0625,0,1,0.08333334,0.5,0.4677419,0.3636364,0,0.01492537,0.375,0.125,0,0,0,0,0,
UNOW,Remnant,2018,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01123596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01315789,0.298052,0,0,0,1,0.02702703,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01612903,0,0.2248804,0.2089552,1,0.5,0,0,0,0,0,
UNT1,Remnant,2018,6,295,34.8,19.6,0,3.7,14.2,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,0,0,0,0,0,0.05617978,0,0,1,0.3076923,0.2857143,1,0.2,0,0.125,0,0,0,0,0,0,0,0.5,0,0.009287925,0.03831169,0.7377049,0,0,0,0,0.5,0,0.1666667,0,0,0,0,1,0,0,0,0.5714286,1,0,0,0.25,0.2666667,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0.000976563,0.0625,1,0.125,0,0.5,0.1129032,0.6666667,0,0.02985075,0,0.125,0.5,0.3157895,1,1,0,
UNT2,Remnant,2018,6,246,36.2,20.2,0,14.3,52.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7,0,0,0,0,0,0.05617978,0,0,0,0.2307692,0,0,0,1,0,0,0,0,0,0.3333333,1,1,0.5,0,0.000773994,0.02099567,0.1639344,0,0,0,0.02702703,0,0,0.5,0,0,0,0.8888889,0,0.3333333,0,0,0.8571429,0.5,0,0,0.25,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.09090909,0.009569378,0,0,0.125,0.3,0.9122807,0.05,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39325844,2,1,2,1.53846168,0.8571427,1,1.8,2,1.5,2.3333334,1.1666667,0,0.6,0.3333333,2,2,2,0,0.174922593,0.75151517,0.9016393,0,0.375,1,1.32432432,2,0.5,1.1666668,1.3333333,0,1,1.8888889,2.5,1.9999999,0,1,2.4285715,2.5,1.22222221,1,2.75,1.86666671,0.3333333,0.8,0,2.4,1,1.6666667,2,2,0,1,2,2,0.5,1.03613281,2.84375,2,1.875,0.16666668,2.5,0.61290316,2.78787875,0.244019156,0.34328355,1.5,1.125,0.93333334,1.2280702,1.05,3,0.15384616,66
