Site,Visit,Date ,Time,Avg_Can,Depth,Moisture,Temp,DissOx,Quadrat,Litter,Water,St Dead,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCOMOS,CARCRAWE,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CLAMARIS,Chara spp.,CORSTOLO,Eleocharis Spp,Equisetum Spp,fern,FRAVIRGI,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,LYSTHYRS,PHRAUSTR,Polygonum Spp,POTALPIN,Rosa Spp,Solidago Spp.,TYPHA SPP,Unk Forb,UTRINTER
IN4,1,01-Jun-17,15:00,187,37,86.2,20.8,5.73,2,0,33,25,1,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
IN4,1,01-Jun-17,15:00,182,34,84.7,20.7,5.28,3,0,25,25,1,0,0,25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
IN5,1,02-Jun-17,13:15,213,25,,,5.47,1,0,15,50,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
IN5,1,02-Jun-17,13:15,203,21,,,5.2,2,0,33,15,0.25,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
IN5,1,02-Jun-17,13:15,200,21,,,6.7,3,0,33,25,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
IN6,1,01-Jun-17,10:00,196,43,85.8,18.1,4.28,1,0,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
IN6,1,01-Jun-17,10:00,169,39,83.8,18.4,3.35,2,0,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
IN6,1,01-Jun-17,10:00,201,48,86.4,18.2,1.47,3,0,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
IN7,1,02-Jun-17,15:15,240,34,,,4.67,1,0,10,50,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0
IN7,1,02-Jun-17,15:15,175,37,,,6.08,2,0,66,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,7.5,0,0
IN7,1,02-Jun-17,15:15,270,39,,,3.89,3,0,33,33,0.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0.25,0,0,0,0.25,0,0
IN8,1,01-Jun-17,11:00,220,65,89.6,18.9,2.71,1,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,50,0,0,0,0,0,0,0
IN8,1,01-Jun-17,11:00,215,67,,,1.47,2,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,50,0,0,0,0,0,0,0
IN8,1,01-Jun-17,11:00,212,65,89.8,19.9,4.23,3,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
IN9,1,02-Jun-17,14:30,225,38.5,,,4.98,1,0,50,25,0.25,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
IN9,1,02-Jun-17,14:30,200,37,,,2.58,2,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
IN9,1,02-Jun-17,14:30,215,38,,,5.87,3,0,50,33,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
IN10,1,10-Jun-17,14:00,220,41,69.6,18,4.99,1,0,25,25,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.25,0,0,0,0,0,0,0,33,0,0,0,0,10,0,0
IN10,1,10-Jun-17,14:00,233,43,66.6,18.3,4.47,2,0,15,15,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0.01,0,0,0,0,0,0,0,50,0,0,0,0,7.5,0,0
IN10,1,10-Jun-17,14:00,272,36,67,18.5,5.31,3,0,10,15,0,0,0,5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,2.5,0,0
RES1,1,03-Jun-17,11:00,0,48,,,5.53,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES1,1,03-Jun-17,11:00,0,44,,,5.14,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES1,1,03-Jun-17,11:00,0,46,,,5.03,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES2,1,03-Jun-17,10:30,0,41,,,6.33,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES2,1,03-Jun-17,10:30,0,39,,,6.5,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES2,1,03-Jun-17,10:30,0,42,,,4.78,3,0,100,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
RES3,1,03-Jun-17,13:00,0,50.5,,,6.72,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
RES3,1,03-Jun-17,13:00,0,48.5,,,8.23,2,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,5,0,0
RES3,1,03-Jun-17,13:00,0,47.5,,,8.73,3,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RES4,1,03-Jun-17,12:15,0,48.5,,,5.66,1,0,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES4,1,03-Jun-17,12:15,0,52,,,4.4,2,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RES4,1,03-Jun-17,12:15,0,51.5,,,5.26,3,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
RES5,1,03-Jun-17,12:00,0,32,,,6.69,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
RES5,1,03-Jun-17,12:00,0,32,,,7.44,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES5,1,03-Jun-17,12:00,0,32.5,,,7.8,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
RES6,1,03-Jun-17,10:00,0,52,,,6.76,1,0,95,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
RES6,1,03-Jun-17,10:00,0,62,,,2.11,2,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES6,1,03-Jun-17,10:00,0,52.5,,,5.49,3,0,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RES7,1,03-Jun-17,9:30,0,35,,,4.42,1,0,66,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES7,1,03-Jun-17,9:30,0,43,,,7.02,2,0,100,1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RES7,1,03-Jun-17,9:30,0,43,,,6.62,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES8,1,03-Jun-17,9:00,0,72,,,2.86,1,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
RES8,1,03-Jun-17,9:00,0,65.5,,,4.64,2,0.01,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
RES8,1,03-Jun-17,9:00,0,63,,,5.45,3,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
RES9,1,03-Jun-17,14:30,0,42,,,7.68,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES9,1,03-Jun-17,14:30,0,41,,,6.97,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0.01
RES9,1,03-Jun-17,14:30,0,43.5,,,7.85,3,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
RES10,1,03-Jun-17,14:00,0,40,,,6.9,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RES10,1,03-Jun-17,14:00,0,35.5,,,7.43,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES10,1,03-Jun-17,14:00,0,41,,,8.25,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM1,1,01-Jun-17,8:00,79,23,72.2,19.4,2.78,1,0,33,25,15,0.01,0.01,2.5,15,0,0,0,0,0,0,0,0.25,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
UNM1,1,01-Jun-17,8:00,82,29,77.4,19.3,3.23,2,0,66,15,7.5,0,0,5,5,0,0,0,0,0,0,0,0,0,7.5,0.01,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
UNM1,1,01-Jun-17,8:00,80,30,77.5,19.4,3.58,3,0,50,10,15,0.25,0,10,7.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0.01,0,0,0,5,0,0.25,0,0,0,0,0,0,0,0
UNM2,1,01-Jun-17,13:00,62,29,81.4,20.3,7.15,1,0,33,33,25,0,0.25,2.5,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UNM2,1,01-Jun-17,13:00,56,39,73.5,19.4,6.36,2,0,66,25,2.5,0,0,2.5,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM2,1,01-Jun-17,13:00,54,29,77,21.1,7.96,3,0,50,10,2.5,0.25,0,2.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2.5,0,0,0
UNM3,1,01-Jun-17,12:00,56,22,78.5,20.2,6.35,1,0,50,7.5,10,0,0,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,2.5,0,0,0
UNM3,1,01-Jun-17,12:00,42,20.5,75.4,21,6.14,2,0,66,2.5,1,0.01,0,1,0.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0.25,0,10,0,0,0,0,0,0,1,15,0,0,0
UNM3,1,01-Jun-17,12:00,62,21,79,20,8.03,3,0,66,7.5,15,0,0,1,0.25,0,0.25,0,0,0,0,0,0,0,2.5,0.01,0,0,0,0,7.5,0,0,2.5,0,0,0,0,2.5,0,0.25,0
UNM4,1,02-Jun-17,11:00,78,17,82.8,17.6,2.27,1,0,33,33,33,0.01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
UNM4,1,02-Jun-17,11:00,79,18,84.7,17.7,4.68,2,0,25,25,25,0.01,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM4,1,02-Jun-17,11:00,81,16,83.3,17.3,3.21,3,0,33,15,50,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM5,1,02-Jun-17,12:30,94,30,83.4,19.3,2.91,1,0,85,0.25,10,0.01,0,0,0,0,0,0,0,0.25,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UNM5,1,02-Jun-17,12:30,91,28,86.6,19.6,5.2,2,0,25,25,10,0,0,25,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM5,1,02-Jun-17,12:30,110,33,84.6,19.9,5.62,3,0,33,25,10,0,0,25,0,0,0,0,0,0,7.5,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT1,1,02-Jun-17,14:10,153,36,,,6.79,1,0,25,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,15,0,0
UNT1,1,02-Jun-17,14:10,152,37,,,5.29,2,0,25,33,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
UNT1,1,02-Jun-17,14:10,183,40,,,6.16,3,0,7.5,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,25,0,0
UNT2,1,04-Jun-17,8:00,153,35,,,5.44,1,0,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
UNT2,1,04-Jun-17,8:00,129,37.5,,,3.46,2,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
UNT2,1,04-Jun-17,8:00,188,37,,,5.9,3,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,25,0,0
UNT3,1,02-Jun-17,9:30,200,53,85.4,19.3,3.59,1,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
UNT3,1,02-Jun-17,9:30,198,47,86.7,19.5,5.92,2,0,33,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,5,0,0,0,50,0,0
UNT3,1,02-Jun-17,9:30,181,42,86,19.4,4.04,3,0,10,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,33,0,0
UNT4,1,02-Jun-17,8:30,190,45,75.6,19,3.77,1,0,25,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
UNT4,1,02-Jun-17,8:30,187,44,85.6,18.8,2.4,2,0,15,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
UNT4,1,02-Jun-17,8:30,190,43,83.9,18.7,5.23,3,0,25,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
UNT5,1,02-Jun-17,10:30,206,56,78.7,18.4,5,1,0,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,33,0,0
UNT5,1,02-Jun-17,10:30,200,54,84.8,18.4,6.28,2,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0
UNT5,1,02-Jun-17,10:30,185,48,86.3,18.5,4.97,3,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,25,0,0
