Site,Treatment,Year,N,Avg_Can,Depth,DO,OpenWater,St.Dead,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCOMOS,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CLAMARIS,CORSTOLO,FRAVIRGI,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,LYSTHYRS,PHRAUSTR,Polygonum.Spp,Rosa.Spp,Solidago.Spp.,TYPHA.SPP,UTRINTER,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Hydrophilida,Scirtidae,Coccinellida,Lampyridae,Chrysomelida,Scraptiidae,AnthiciLarv,CocciLarvae,Cecidomyiida,Sciaridae,Scatopsidae,Mycetophilid,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Dolichopodid,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Chamaemyiida,Agromyzidae,Anthomyzidae,Sepsidae,Drosophilida,Muscidae,Calliphorida,Tachinidae,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Baetidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Scelionidae,Platygastrid,Braconidae,Ichneumonida,Pompilidae,Formicidae,Diapriidae,Sphecidae,Eurytomidae,Mymaridae,Encyrtidae,Figitidae,Trichogramma,Aphididae,Cicadellidae,Anthocoridae,Miridae,Saldidae,Coccoidea,Hemerobiidae,Sisyridae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Psocoptera,Rhaphidophor,Cosmopterigi,Gelechiidae,Bucculatrici,Gracillariid
RES7,Treated,2017,4,0,40.33333333,6.02,88.66666667,11.33333333,0.083333333,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.02666667,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2075472,0.2475421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0.1764706,0,0,0,0,0,0,0,0,0,0
RES8,Treated,2017,4,0,66.83333333,4.316666667,81.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33333333,0,0,0,0,0,0,0,0,0,0,0.1733333,0.1034483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01886792,0.1544944,0,0,0,0,0.2352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0.1666667,0,0,0.00621118,0,0,0.08333334,0,0,0.5,0,0,0,0,0,0,0,0,0,0.002164502,0,0,0,0,0,0,0,0.25,0,0,0,0.1176471,0.2222222,0,0,0,0,0,0,0,0,0
RESOW,Treated,2017,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1204354,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.6470588,0,0,0,1,0,0,0,0,0,0
UNM1,Uninvaded,2017,4,80.33333333,27.33333333,3.196666667,49.66666667,16.66666667,12.5,0.086666667,0.003333333,5.833333333,9.166666667,0,0,0,0,0,0.833333333,0.083333333,4.166666667,0,0,0,3.333333333,0,0.166666667,0,0,0,0.333333333,0,0,0.02666667,0,0,0,1,0,0,0,0,0.3333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09433962,0.03089888,0,0.6470588,0,0,0.2352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0.05590062,0,0,0.08333334,0,1,1,0,1,0,0,0,0,0,0,0,0.004329004,0.3333333,0,0.1666667,0,0,0.5,0,0,0,0,0.3333333,0.1764706,0.2777778,0,0,0,0,0,0,0,0,1
UNM2,Uninvaded,2017,4,57.33333333,32.33333333,7.156666667,49.66666667,22.66666667,10,0.083333333,0.083333333,2.5,1.25,0,0,0,0,0,0,0.75,0,0,0,8.333333333,0,0,0,0,0,0,1.166666667,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1127107,0,0.05882353,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,1,0,0,0,0,0,0,0.05882353,0,0,0,0,0,0,0,0,0,0
UNM3,Uninvaded,2017,4,53.33333333,21.16666667,6.84,60.66666667,5.833333333,8.666666667,0.003333333,0,1,0.25,0,0.333333333,0,0,0,0,0,0.833333333,0.083333333,0,16.83333333,0,0,0.833333333,0,0,0.333333333,6.666666667,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1886792,0.06530899,0,0,0,0,0.2941177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0.01242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0.1764706,0.05555556,0,0,0,0,0,0,0,0,0.3333333
UNM4,Uninvaded,2017,3,79.33333333,17,3.386666667,30.33333333,24.33333333,36,0.01,0,0,0,0,0,0,3.333333333,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03773585,0.1320225,0.25,0.4705882,0,0.5,0.2352941,0.6666667,1,0,0,0,0,0,1,1,0.125,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0
UNOW,Uninvaded,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03773585,0.02457865,0,0,0,0,0.1176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0.7647059,0.08333334,1,1,1,0,0,0,0,0,0
UNT1,Uninvaded,2017,4,162.6666667,37.66666667,6.08,19.16666667,49.66666667,5.833333333,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.083333333,0,0.833333333,0,0,18.33333333,0,0.05333333,0,0,0,0,0,0,0.5,1,0.3333333,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0.2264151,0.01580056,0.5,0,0,0,0.2941177,0,0,0,0,0,0,1,0,0.3333333,0,0,0,0.06666667,0,0,0,1,0,0,0.3333333,0.4037267,0,0,0,0,0.4,0.5,0,0,0,0,0,0,1,0,0,0.01082251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0,0,0
UNT2,Uninvaded,2017,4,156.6666667,36.5,4.933333333,30.33333333,52.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,15,0,0.09333333,0,0,0,0,0,0,0.25,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05660377,0.004213483,0.5,0.1764706,0,0,0.1764706,0.3333333,0,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0.05590062,0,0,0.1666667,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0,0,0
UNT3,Uninvaded,2017,4,193,47.33333333,4.516666667,31,25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,2.5,0,0,38.66666667,0,0.2666667,0.03448276,0,0,0,1,1,0,0,0.3333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.7735849,0.2106742,0,0,0,0,0.1176471,0,0,0,0.1666667,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.08333334,0,0.6666667,0.1304348,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3333333,1,0,1,0,0,0,0,0,1,0.6666667,0.5294118,0.1388889,0.1428571,0,0,0,0,0.5714286,0,0,0
UNT4,Uninvaded,2017,4,189,44,3.8,21.66666667,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0754717,0.02247191,0.75,0,0,0,0.1176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0.08333334,0,0,0.5527951,0.3333333,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.3333333,1,0,0,0,0,0,0,0,0,1,0.05882353,0,0,0,0,0,0,1,0,0,0
