Site ,Treatment,Date,Year,N,YrCol,Araneae,Acari,Carabidae,Anthicidae,Erotylidae,Cryptophagid,Latridiidae,Scirtidae,Coccinellida,Lampyridae,Chrysomelida,Cocc.Larvae,Cecidomyiida,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Psychodidae,Ephydridae,Chloropidae,Agromyzidae,Drosophilida,Muscidae,Anthomyiidae,Stratiomyida,Tabanidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Ceraphronida,Scelionidae,Braconidae,Ichneumonida,Formicidae,Eurytomidae,Mymaridae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Polycentropo,Phryganeidae,Psocoptera,Cosmopterigi,Gracillariid,Noctuidae
UNM4,Uninvaded,28-Jun-17,2017,Col._2,2017Col._2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003678725,0.06666667,0,0.5,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNOW,Uninvaded,28-Jun-17,2017,Col._2,2017Col._2,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006131208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0.06896552,1,0,0,0,0,0
UNT1,Uninvaded,28-Jun-17,2017,Col._2,2017Col._2,0.0625,0,0,0,1,1,0,0,0,0,0,0,0,0.25,0.006744328,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT2,Uninvaded,28-Jun-17,2017,Col._2,2017Col._2,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.001226242,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.03508772,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT3,Uninvaded,28-Jun-17,2017,Col._2,2017Col._2,0.125,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1875,0.1011649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.122807,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.5,0,0,0,0,0,0,0
UNT4,Uninvaded,28-Jun-17,2017,Col._2,2017Col._2,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002452483,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7192982,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN1,Invaded,25-Jun-18,2018,Col._4,2018Col._4,0.125,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.004291845,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0,0.03448276,0,0,0,0,0,0
IN2,Invaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.000613121,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1666667,0,0,0,0,0,0,0,0
IN3,Invaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01042305,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN4,Invaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0625,0.01287554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03448276,0,0,0,0,0,0
IN5,Invaded,25-Jun-18,2018,Col._4,2018Col._4,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001226242,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.6666667,0,0,0,0,0.5,0,0,0,0
IN6,Invaded,25-Jun-18,2018,Col._4,2018Col._4,0.1875,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0.006131208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0.03448276,0,0,0,0,0,0
IN7,Invaded,25-Jun-18,2018,Col._4,2018Col._4,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.06666667,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,1
IN8,Invaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0.008583691,0.06666667,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0
INOW,Invaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03188228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0,0,0,0,0
RES1,Treated,25-Jun-18,2018,Col._4,2018Col._4,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.04046597,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES2,Treated,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.1698345,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0.75,0.3793103,0,0,0,0,0,0
RES3,Treated,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.07357449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.03448276,0,0,0,0,0,0
RES5,Treated,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.0625,0.3163703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01190476,0,0,0,0,0,0,0,0,0.5,0.2413793,0,0,0,0,0,0
RES6,Treated,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1446965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01190476,0,0,0,0,1,0,0,0,0,0.3448276,0,1,0,0,0,0
RES7,Treated,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.1048437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1724138,0,0,0,0,0,0
RES8,Treated,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.1446965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666667,0,0.08333334,0,0,0,0,0,0,0
UNM1,Uninvaded,25-Jun-18,2018,Col._4,2018Col._4,0.125,0,0,0,0,0,0,0,0.3333333,0,0,1,0,0.875,0.1109749,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0,0,0,0,0.01190476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UNM2,Uninvaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0.01287554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.03448276,0,0,0,0,0,0
UNM3,Uninvaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.004291845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0
UNM4,Uninvaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0.004904966,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
UNM5,Uninvaded,25-Jun-18,2018,Col._4,2018Col._4,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.002452483,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0.1190476,0,0,0,0,0,0,0,0.1666667,0,0,0,0.5,0,0,0,0
UNM6,Uninvaded,25-Jun-18,2018,Col._4,2018Col._4,0.625,0,0,1,0,0,0,0,0.3333333,1,0,0,1,0,0.02636419,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
UNOW,Uninvaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.08706315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,1,0.1034483,0.2,0,0,0,0,0
UNT1,Uninvaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001839362,0.4666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07017544,0,0,0,0,0,0,0,0.02380952,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0
UNT2,Uninvaded,25-Jun-18,2018,Col._4,2018Col._4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001226242,0,0,0,0,0.125,0,0,0,0,0,0,0,0,1,0,0,0.03508772,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
