"","Araneae","Acari","Anthicidae","Erotylidae","Cryptophagidae","Latridiidae","Coccinellidae","Lampyridae","Chrysomelidae","Coccinellidae.Larvae","Cecidomyiidae","Ceratopogonidae","Chironomidae","Culicidae","Chaoboridae","Dolichopodidae","Psychodidae","Ephydridae","Chloropidae","Agromyzidae","Drosophilidae","Muscidae","Anthomyiidae","Stratiomyidae","Tabanidae","Dixidae","Syrphidae","Caenidae","Pteromalidae","Eulophidae","Ceraphronidae","Scelionidae","Braconidae","Ichneumonidae","Formicidae","Mymaridae","Aphididae","Cicadellidae","Anthocoridae","Miridae","Hemerobiidae","Libellulidae","Lestidae","Coenagrionidae","Thysanoptera","Hydroptilidae","Leptoceridae","Polycentropodidae","Phryganeidae","Psocoptera","Cosmopterigidae","Gracillariidae","Noctuidae"
"16",0.0625,0,0,0,0,0,0,0,0,0,0,0,0.0723482526057633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0.5,0,0,0,0,0,0,0,0,0,0,0.0625,0.0355610055180871,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0
"18",0.125,0,0,0,0,0,0,0,0,0,0,0,0.129981606376456,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.416666666666667,0,0,0,0,0,0,0
"19",0.0625,0,0,0,0,0,0,0,0,0,0,0,0.0134886572654813,0,0,0.5,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0.026364193746168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0.0165542611894543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0.00367872470876763,0.0666666666666667,0,0.5,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0.0625,0,0,0,0,0,0,0,0,0,0,0,0.00613120784794605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.0689655172413793,1,0,0,0,0,0
"24",0.0625,0,0,1,1,0,0,0,0,0,0,0.25,0.00674432863274065,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0.1875,0,0,0,0,0,0,0,0,0,0,0.0625,0.00122624156958921,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.0350877192982456,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0.125,0,0,0,0,0.5,0,0,0,0,0,0.1875,0.10116492949111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12280701754386,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.5,0,0,0,0,0,0,0
"27",0.1875,0,0,0,0,0,0,0,0,0,0,0,0.00245248313917842,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719298245614035,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0.125,0,0,0.5,0,0,0,0,0,0,0,0,0.00429184549356223,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.0344827586206897,0,0,0,0,0,0
"29",0,0,0,0.5,0,0,0,0,0,0,0,0,0.000613120784794605,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0.0104230533415083,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0.5,0,0,0,0,0,0,0,0.0625,0.0128755364806867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0
"32",0.0625,0,0,0,0,0,0,0,0,0,0,0,0.00122624156958921,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.666666666666667,0,0,0,0,0.5,0,0,0,0
"33",0.1875,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.00613120784794605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.0344827586206897,0,0,0,0,0,0
"34",0.25,0,0,0,0,0,1,0,0,0,0,0,0,0.0666666666666667,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,1
"35",0,0,0,0.5,0,1,0,0,0,0,0,0,0.00858369098712446,0.0666666666666667,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0.0318822808093194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0
"37",0.0625,0,0,0,0,0,0,0,0,0,0,0.1875,0.0404659717964439,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0.625,0.169834457388105,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.75,0.379310344827586,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0.25,0.0735744941753525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0344827586206897,0,0,0,0,0,0
"40",0,0,0,0,0,0.5,0,0,0,0,0,0.0625,0.316370324954016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0,0,0,0,0.5,0.241379310344828,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0.144696505211527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,1,0,0,0,0,0.344827586206897,0,1,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0.125,0.104843654199877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172413793103448,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0.0625,0.144696505211527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.0833333333333333,0,0,0,0,0,0,0
"44",0.125,0,0,0,0,0,0.333333333333333,0,0,1,0,0.875,0.110974862047823,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0.5,0,0,0,0,0,0.25,0.0128755364806867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0.0625,0.00429184549356223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0.3125,0.00490496627835684,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"48",0.0625,0,0,0,0,0,0,0,0,0,0,0.0625,0.00245248313917842,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0.119047619047619,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.5,0,0,0,0
"49",0.625,0,1,0,0,0,0.333333333333333,1,0,0,1,0,0.026364193746168,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0.375,0.0870631514408338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0.103448275862069,0.2,0,0,0,0,0
"51",0,0,0,0,0,0,0,0,0,0,0,0,0.00183936235438381,0.466666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701754385964912,0,0,0,0,0,0,0.0238095238095238,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,0.00122624156958921,0,0,0,0,0.125,0,0,0,0,0,0,0,0,1,0,0,0.0350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
