"","ID","Habitat","Type","Lampyridae","Cecidomyiidae","Phoridae","Ceratopogonidae","Chironomidae","Culicidae","Chaoboridae","Dolichopodidae","Ephydridae","Sciomyzidae","Stratiomyidae","Tabanidae","Tipulidae","Dixidae","Syrphidae","Caenidae","Pteromalidae","Eulophidae","Scelionidae","Ichneumonidae","Mymaridae","Libellulidae","Lestidae","Coenagrionidae","Hydroptilidae","Leptoceridae","Polycentropodidae","Phryganeidae","Limnephilidae","Cosmopterigidae","Crambidae","Corduliidae"
"35","RES2","Treated","Aquatic",0,0,0,41,1385,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1,0
"36","RES3","Treated","Aquatic",0,0,0,33,1747,0,0,0,5,0,0,0,0,0,0,70,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0
"37","RES4","Treated","Aquatic",0,0,0,48,1415,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"38","RES5","Treated","Aquatic",0,2,0,18,239,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"39","RES6","Treated","Aquatic",0,0,0,40,559,0,0,0,0,0,1,0,0,0,0,384,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2
"40","RES7","Treated","Aquatic",0,1,0,132,1109,0,0,0,0,1,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
"41","RES8","Treated","Aquatic",0,0,0,26,616,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
"42","RESOW","Treated","Aquatic",0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","UNM1","Uninvaded","Aquatic",7,0,0,9,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","UNM2","Uninvaded","Aquatic",2,2,0,9,102,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"45","UNM3","Uninvaded","Aquatic",2,1,0,11,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","UNM4","Uninvaded","Aquatic",1,3,0,12,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"47","UNM5","Uninvaded","Aquatic",2,1,0,15,39,1,0,0,0,2,1,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1
"48","UNM6","Uninvaded","Aquatic",31,2,0,8,86,0,0,0,3,0,0,0,10,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
"49","UNT1","Uninvaded","Aquatic",5,0,0,5,169,0,0,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0
"50","UNT2","Uninvaded","Aquatic",0,1,0,2,67,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
