,Araneae,Acari,Curculionidae,Staphylinidae,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagidae,Latridiidae,Phalacridae,Scirtidae,Coccinellidae,Lampyridae,Chrysomelidae,Nitidulidae,Anthicidae.lar,Coccinellidae.Larvae,Erotylidae.Larvae,Collembola,Cecidomyiidae,Sciaridae,Scatopsidae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Chaoboridae,Dolichopodidae,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Agromyzidae,Drosophilidae,Muscidae,Anthomyiidae,Calliphoridae,Stratiomyidae,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronidae,Scelionidae,Platygastridae,Braconidae,Ichneumonidae,Pompilidae,Formicidae,Diapriidae,Sphecidae,Crabronidae,Eurytomidae,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Lestidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Molannidae,Polycentropodidae,Phryganeidae,Limnephilidae,Psocoptera,Cosmopterigidae,Gracillariidae,Noctuidae,Crambidae
13,0.011235955,0,0,1,0,0.461538462,0,0.428571429,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0.083333333,0.018575851,0.126406926,0.049180328,0,0.470588235,0,0,0.054054054,0.25,0.5,0,0.333333333,0,0,0,0,0,0,0,0.222222222,0.272727273,0,0.037037037,0,0.01242236,1,0.6,0.083333333,0.5,0.166666667,0,0,0,0,0,0,1,0,0,0,0.001464844,0.90625,0,0,0,0.75,0.5,0.290322581,0.151515152,0,0.059701493,0,0,0,0.566666667,0.175438596,0,0,0,0.076923077
14,0.191011236,0,0,0,0,0.615384615,0,0.428571429,0,0.4,0,0,0.25,0.333333333,0,0,0,1,0.333333333,0,0,0,0,1,0.000773994,0.025324675,1,0.222222222,0,0,0,0.054054054,0.25,0,0,0,0,0,0.125,0.111111111,1,0.2,0,0,0,0,0.037037037,0.25,0.01863354,0,0,0.166666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0.09375,0,0,0,0.583333333,0.5,1,0,0.004784689,0.044776119,0,0,0.125,0.266666667,0.052631579,0,0,0,0
15,0.123595506,0,0,1,0,0.461538462,0,0,0,0,0.5,0,0.125,0,0,0,0,0,0,0,0,0,0,0.166666667,0.001547988,0.03030303,0,0,0,0,0,0.027027027,0,0.5,0,0,0,0,0,0.222222222,0.5,0,0,0,0,0,0,0.5,0,0,1,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,1,0,0.161290323,0.121212121,0.023923445,0.044776119,0,0,0,0.1,1,0,0,0,0
16,0.235955056,0,0.5,0,0,0.076923077,0,1,0.5,0.2,0,0,1,0,0,0,1,0,0,0,0.5,0,0,0.333333333,0,0.027056277,0.918032787,1,0,0,0,0.351351351,0,0,0,0.333333333,0,0,0,0,0,0,0,0.444444444,0.181818182,0,0.037037037,0.25,0,0,0.2,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.21875,0.5,0,0,0.333333333,1,0.483870968,0,0,0.074626866,0,0,0.25,0.566666667,0.421052632,0.025,0,0.5,0
17,0.168539326,0,0,0,0,0,0,0.857142857,0,1,0,0,0,0.333333333,0,0,1,0.2,0,0,0,0,0,0.083333333,0.000773994,0.134199134,0.180327869,0,0.058823529,0,0,0.297297297,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0.483870968,0,0.028708134,0,0,0,0,1,0.087719298,0,0,0,0
18,0.146067416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0.020123839,0.106926407,0,0,0,0.125,0,0.027027027,0.25,0,0,0,0,0,0.125,0.111111111,0,0,0.5,0,0,0,0.444444444,0,0.00621118,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.229665072,0.089552239,0,0,0,0,0,0.025,0,0,0
19,0.08988764,0,0,0,0,0.153846154,0,0,0,0.4,0,0,0.875,0.5,0,0.166666667,0,0.6,0,0.2,0,0,0,0,0.061919505,0.22987013,0,0,0.058823529,0,0,0.297297297,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0.01863354,0,0,0.083333333,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.003417969,1,0,0,0,0,0,0.016129032,0.242424242,0,0.014925373,0,0.090909091,0.125,0.033333333,0,0,0,0,0.076923077
20,0.04494382,0,0,0,0.5,0.153846154,0,0.142857143,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.019349845,0.042207792,0,0,0,0,0,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0.2,0.416666667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.125,0,0.375,0,0,1,0,0.060606061,0,0.059701493,0,0,0,0,0,0,0,0,0
21,0.06741573,0,1,0.5,0.5,0.153846154,0,0.142857143,0,0,0.5,0,0.25,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0.006965944,0.011038961,0,0,0.117647059,0,0,0,0,0,0,0.166666667,0,0,0.125,0,0,0.2,0,0,0,0,0,0.25,0,0,0,0.083333333,0,1,0,1,0,0,0,0,1,1,0,0,0.002929688,0.59375,0,0,0,0.083333333,0,0,0.121212121,0,0,0,0,0,0,0,0,0,1,0
22,0.02247191,0,0,0.5,0,0,0,0,0,0.2,0,1,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.034829721,0.011688312,0,0,0,0,0,0.621621622,1,0,0,0.166666667,0,0,0,0,0.5,0.066666667,0,0,0,0.75,0.037037037,1,0.00621118,0,0.2,0.25,0.5,0,0.5,0,0,0,0,1,0,0,0,0.5,1,0.59375,0,0,0,0,0,0,1,0.004784689,0,0,0,0,0,0,0,0,0,0.076923077
23,0.04494382,0,0,0,0,0.076923077,0,0.142857143,0,0.8,0,0,0,1,0,0.5,0,0,0,0.6,0,1,0,0,0.017801858,0.017099567,0,0,0,0,0,0.108108108,0.25,0.5,0,0,1,0,0,1,1,0.066666667,0,0.111111111,0.272727273,0.25,0.111111111,0,0.00621118,0.333333333,0,0,0,0.166666667,0,1,0,0,0,0,0,1,1,0,0.015625,0.40625,1,0.375,0,0,0,0,0.242424242,0.004784689,0.014925373,0,0,0.125,0.1,0,0,0.333333333,0,0
24,1,0,1,0,0,0.461538462,0,0.142857143,0,0,0,0,0.25,0.5,0,0.333333333,0,0,0,0,0.5,0,0,0,0.010835913,0.082251082,0,0,0,0,0,0.189189189,0,0,0,0.166666667,0.333333333,0,0,0,0,0,0,0.888888889,0.363636364,0,0,1,0.01863354,0,0.2,0.166666667,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.013183594,0.0625,0,1,0,0.083333333,0.5,0.467741935,0.363636364,0,0.014925373,0,0.272727273,0.125,0,0,0,0,0,0
25,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069480519,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0.004784689,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0.5,0,0,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007739938,0.04025974,0,0,0,0,0,0.135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0.01242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0.014354067,0.029850746,0,0,0,0,0,0,0.333333333,0,0
27,0,0,0,0,0,0,1,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001547988,0.081385281,0.016393443,0,0.470588235,0,0.5,0.108108108,0.5,0.5,0,0,0,1,0.125,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0.5,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0
28,0.02247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001547988,0.015151515,0,0,0,0,0,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0.062200957,0.044776119,1,1,0.125,0,0,0,0,0,0
29,0.011235955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013157895,0.298051948,0,0,0,1,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0.224880383,0.208955224,0,0.727272727,0.5,0,0,0,0,0,0
30,0.134831461,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001547988,0.094155844,0,0,0,0,0,0.027027027,0,0,0,0,0.333333333,0,0.25,0,0,0.066666667,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.5,0,0,0,0.089552239,0,0,0,0,0,0,0,0,0
31,0.02247191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003869969,0.312121212,0,0,0,0,0,0.027027027,0,0,0,0,0.333333333,0,0.25,0,0,0.066666667,0,0,0,0,0.037037037,0,0.01242236,0,0,0.083333333,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.5,0,0.090909091,0.009569378,0.28358209,0,0,0,0,0,0,0,0,0
32,0.157303371,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023993808,0.616450216,0,0,0,0,0,0.054054054,0,0.5,0,0,0.333333333,0,0,0,0,0.066666667,0,0,0,0,0.444444444,0,0.02484472,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0.001464844,0,0,0,0,0.166666667,0.5,0.016129032,0.060606061,0.081339713,0.507462687,0,0,0,0,0,0,0,0,0
33,0.134831461,0.068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.041021672,0.172510823,0,0,0,0,0,0.324324324,0,0,0,0,0.333333333,0,0,0,0,0.066666667,0,0,0,0,0.296296296,0,0.01242236,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.000488281,0,0,0,0,0.25,0,0.016129032,0,0.028708134,0.537313433,0,0,0,0,0,0,0,0,0
34,0.011235955,0.103448276,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.000976563,0,0.5,0,0,0.083333333,0,0,0,0.004784689,0.402985075,0,0,0,0,0,0,0,0,0
35,0.078651685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001547988,0.026190476,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0,0,0.066666667,0.0625,0,0,0,0,0,0.00621118,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060606061,0.004784689,0.164179104,0,0,0,0,0,0,0,0,0
36,0.02247191,0,0,0,0,0,1,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008513932,0.152597403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0.014354067,0,0,0,0,0,0,0,0,0,0
37,0.146067416,0.103448276,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000773994,0.095238095,0,0,0,0,0,0.108108108,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.074074074,0,0.00621118,0,0,0.083333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0.000488281,0,0,0,0,0.166666667,0,0,0,0.009569378,0.119402985,0,0,0,0,0,0,0,0,0
38,0.02247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074242424,0.032786885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0.052631579,0,0,0,0.125,0,0,0,0,0,0
39,0.02247191,0.034482759,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0.265584416,0,0,0,0,0,0.054054054,0,0.5,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0.037037037,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0.048387097,0,0.004784689,0,0,0,0,0,0,0,0,0,0.076923077
40,0.033707865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.099845201,1,0,0,0,0,0,0.378378378,0,1,0,0,0.333333333,0,0,0,0,0,0,0.111111111,0,0,0.037037037,0.25,0.00621118,0.333333333,0,0.083333333,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.416666667,1,0.096774194,0.060606061,1,0.597014925,0,0.090909091,0,0,0,0,0,0,1
41,0.011235955,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.019349845,0.556493506,0,0.111111111,0,0,0,0.054054054,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0.3125,0.222222222,0,0,0.074074074,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.048387097,0.03030303,0.014354067,0.223880597,0,0.363636364,0,0,0,0,0,0,0.307692308
42,0,0,0,0.5,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.007739938,0.405194805,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.000488281,0,0,0,0,0,0,0,0.03030303,0.09569378,0.044776119,0,0,0.375,0,0,0,0,0,0.153846154
43,0.06741573,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010835913,0.422294372,0,0,0,0,0,0.027027027,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000976563,0,0,0,0,0,0,0.016129032,0.03030303,0.105263158,0.552238806,0,0,0,0,0,0,0,0,0
44,0.202247191,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.083333333,0.009287926,0.699350649,0,0,0,0,0,0.081081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000488281,0,0.5,0,0,0.25,0,0.064516129,0.121212121,0.014354067,0.388059701,0,0.636363636,1,0,0,0,0,0,0.076923077
45,0.033707865,0,0,0,0,0.153846154,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0.099845201,0.626190476,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.333333333,0,0.133333333,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.083333333,0,0,0.060606061,0.019138756,1,0,0.272727273,0.25,0.033333333,0,0,0,0,0
46,0.04494382,0,0.5,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.012383901,0.457575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0.148148148,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048387097,0,0.009569378,0.044776119,0,0,0,0,0,0,0,0,0
47,0.415730337,0,0,0,0,0,0,0,0,0.2,0,0,0.125,0,0,0,0,0.2,0,0,0,0.5,0,0,0.001547988,0.071428571,0,0,0,0,0,0.108108108,0,0,0,0,0,0,0,0.666666667,0,0,1,0,0,0,0.111111111,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0.060606061,0.062200957,0.059701493,0,0.181818182,0,0,0,0,0,0,0
48,0.04494382,0,0,0,0,0,0,0.285714286,1,0.2,0,0,0.125,0,0,0,0,0,0,0,0,0,1,0,0.009287926,0.00974026,0.032786885,0,0,0,0,0.135135135,0,0,0,0,0,0.333333333,0,0,0,0.066666667,0,0,0,0.25,0,0.25,0.403726708,0,0,0,0,0.333333333,0.5,0,0,0,0,0,0,0,1,0,0.002441406,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0
49,0.078651685,0,0,0,0,0,0,0.142857143,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.002321981,0.002597403,0.032786885,0,0.176470588,0,0,0.081081081,0.25,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.055900621,0,0,0.166666667,0,0.166666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0
50,0.224719101,0.034482759,0,0,0,0.076923077,1,0,0,0.2,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.031733746,0.12987013,0,0,0,0,0,0.054054054,0,0,0,0.166666667,0,0,0.125,0,0,0,0,0,0,0,0.037037037,0.5,0.130434783,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.5,0,0,0,0,0.032258065,0.060606061,0.043062201,0.074626866,0.142857143,0,0,0,0,0.1,0,0,0
51,0.842696629,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003095975,0.013852814,0.049180328,0,0,0,0,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0.037037037,0,0.552795031,0.333333333,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.03125,0.5,0,0,0,0,0,0.090909091,0.004784689,0,0,0,0,0,0,0.175,0,0,0
52,0.056179775,0,0,0,1,0.307692308,0,0.285714286,0.5,0.2,0,0,0.125,0,0.2,0,0,0,0,0,0,0.5,0,0,0.009287926,0.038311688,0.737704918,0,0,0,0,0,0.5,0,0,0.166666667,0,0,0,0,1,0,0,0,0.363636364,1,0,0.25,0.02484472,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0.000976563,0.0625,1,0.125,0,0,0.5,0.112903226,0.666666667,0,0.029850746,0,0,0.125,0.5,0.315789474,1,0,1,0
53,0.056179775,0,0,0,0,0.230769231,0,0,0,0,0.5,0,0,0,0,0,0,0,0.333333333,1,0.5,0.5,0,0,0.000773994,0.020995671,0.163934426,0,0,0,0,0.027027027,0,0,0,0.5,0,0,0,0.888888889,0,0.066666667,0,0,0.545454545,0.5,0,0.25,0.093167702,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.090909091,0.009569378,0,0,0,0.125,0.3,0.912280702,0.05,0,1,0
54,0.02247191,0,0,0,0.5,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.003869969,0.019047619,0,0,0.647058824,0,0,0.108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.055900621,0,0,0.083333333,0,0.833333333,1,0,1,0,0,0,0,0,0,0,0.000976563,0.03125,0,0.125,0.5,0,0,0,0.03030303,0.014354067,0.149253731,0,0,0,0,0,0,1,0,0
