,Treatment,Year,TrtYr,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Lampyridae,Chrysomelida,Nitidulidae,Anthicidae.l,Cocci.larv,Erotylidae.l,Collembola,Cecidomyiida,Sciaridae,Scatopsidae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Agromyzidae,Anthomyzidae,Drosophilida,Muscidae,Anthomyiidae,Calliphorida,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Baetidae,Ephemerellid,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Megaspilidae,Scelionidae,Platygastrid,Braconidae,Ichneumonida,Pompilidae,Formicidae,Diapriidae,Sphecidae,Eurytomidae,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Coccoidea,Hemerobiidae,Sisyridae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Molannidae,Polycentropo,Phryganeidae,Limnephilida,Psocoptera,Cosmopterigi,Gelechiidae,Gracillariid,Noctuidae,Crambidae
RES2_2017,Restored,2017,Restored2017,0.02247191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003869969,0.3121212,0,0,0,0,0,0.02702703,0,0,0,0,0.3333333,0,0,0.25,0,0,0.06666667,0,0,0,0,0.03703704,0,0,0,0.01242236,0,0,0,0.08333334,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0.5,0,0.09090909,0.009569378,0.2835821,0,0,0,0,0,0,0,0,0,0
RES3_2017,Restored,2017,Restored2017,0.1573034,0,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02399381,0.6164502,0,0,0,0,0,0.05405406,0,0.5,0,0,0.3333333,0,0,0,0,0,0.06666667,0,0,0,0,0.4444444,1,0,0,0.02484472,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0.001464844,0,0,0,0,0,0,0.1666667,0.5,0.01612903,0.06060606,0.08133971,0.5074627,0,0,0,0,0,0,0,0,0,0
RES4_2017,Restored,2017,Restored2017,0.1348315,0.06896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.04102167,0.1725108,0,0,0,0,0,0.3243243,0,0,0,0,0.3333333,0,0,0,0,0,0.06666667,0,0,0,0,0.2962963,0,0,0,0.01242236,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.000488281,0,0,0,0,0,0,0.25,0,0.01612903,0,0.02870813,0.5373135,0,0,0,0,0,0,0,0,0,0
RES5_2017,Restored,2017,Restored2017,0.01123596,0.1034483,0,0,0,0,0,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.000976563,0,0.5,0,0,0,0,0.08333334,0,0,0,0.004784689,0.4029851,0,0,0,0,0,0,0,0,0,0
RES6_2017,Restored,2017,Restored2017,0.07865169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001547988,0.02619048,0,0,0,0,0,0.02702703,0,0,0,0,0,0,0,0,0,0,0.06666667,0.0625,0,0,0,0,0,0,0,0.00621118,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060606,0.004784689,0.1641791,0,0,0,0,0,0,0,0,0,0
RES7_2017,Restored,2017,Restored2017,0.02247191,0,0,0,0,0,1,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008513932,0.1525974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0.01435407,0,0,0,0,0,0,0,0,0,0,0
RES8_2017,Restored,2017,Restored2017,0.1460674,0.1034483,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000773994,0.0952381,0,0,0,0,0,0.1081081,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0.07407407,0,0,0,0.00621118,0,0,0,0.08333334,0,0,0.5,0,0,0,0,0,0,0,0,0.000488281,0,0,0,0,0,0,0.1666667,0,0,0,0.009569378,0.119403,0,0,0,0,0,0,0,0,0,0
RESOW_2017,Restored,2017,Restored2017,0.02247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07424243,0.03278688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.03225806,0,0.05263158,0,0,0,0.125,0,0,0,0,0,0,0
UNM1_2017,Uninvaded,2017,Uninvaded2017,0.02247191,0,0,0,0.5,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.003869969,0.01904762,0,0,0.6470588,0,0,0.1081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.05590062,0,0,0,0.08333334,0,0.8333333,1,0,1,0,0,0,0,0,0,0.000976563,0.03125,0,0.125,0,0.5,0,0,0,0,0.03030303,0.01435407,0.1492537,0,0,0,0,0,0,0,1,0,0
UNM2_2017,Uninvaded,2017,Uninvaded2017,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06948052,0,0,0.05882353,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0.5,0,0,0,0,0,0,0,0,0,0.03125,0,0,1,0,0,0,0,0,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0
UNM3_2017,Uninvaded,2017,Uninvaded2017,0,0,0,0,0.5,0,0,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007739938,0.04025974,0,0,0,0,0,0.1351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1481481,0,0,0,0.01242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0.01435407,0.02985075,0,0,0,0,0,0,0,0.3333333,0,0
UNM4_2017,Uninvaded,2017,Uninvaded2017,0,0,0,0,0,0,1,0.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001547988,0.08138528,0.01639344,0,0.4705882,0,0.5,0.1081081,0.5,0.5,0,0,0,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0,0.5,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0
UNOW_2017,Uninvaded,2017,Uninvaded2017,0.02247191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001547988,0.01515152,0,0,0,0,0,0.05405406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06060606,0.06220096,0.04477612,1,1,0.125,0,0,0,0,0,0,0
UNT1_2017,Uninvaded,2017,Uninvaded2017,0.04494382,0,0,0,0,0,0,0.2857143,1,0.2,0,0,0.125,0,0,0,0,0,0,0,0,0,1,0,0.009287925,0.009740259,0.03278688,0,0,0,0,0.1351351,0,0,0,0,0,1,0.3333333,0,0,0,0.06666667,0,0,0,0.25,0,0,0,0.25,0.4037267,0,0,0,0,0,0.3333333,0.5,0,0,0,0,0,0,1,0,0.002441406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
UNT2_2017,Uninvaded,2017,Uninvaded2017,0.07865169,0,0,0,0,0,0,0.1428571,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.002321981,0.002597403,0.03278688,0,0.1764706,0,0,0.08108108,0.25,0,0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0.05590062,0,0,0,0.1666667,0,0.1666667,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
UNT3_2017,Uninvaded,2017,Uninvaded2017,0.2247191,0.03448276,0,0,0,0.07692308,1,0,0,0.2,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.03173375,0.1298701,0,0,0,0,0,0.05405406,0,0,0,0.1666667,0,0,0,0.125,0,0,0,0,0,0,0,0.03703704,0,0,0.5,0.1304348,0,0,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0.03125,0.5,0,0,0,0,0,0,0.03225806,0.06060606,0.0430622,0.07462686,0.1428571,0,0,0,0,0.1,0,0,0,0
UNT4_2017,Uninvaded,2017,Uninvaded2017,0.8426966,0,0,0,0,0,0,0.2857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003095975,0.01385281,0.04918033,0,0,0,0,0.05405406,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0.03703704,0,0,0,0.5527951,0.3333333,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.03125,0.5,0,0,0,0,0,0,0,0.09090909,0.004784689,0,0,0,0,0,0,0.175,0,0,0,0
IN1_2018,Invaded,2018,Invaded2018,0.1685393,0,0,0,0.5,1,0,0.5714286,0,0.2,0,0,0,0.1666667,0,0.8333333,1,0,0.3333333,0.4,0.5,0,0,0.08333334,0.01006192,0.04588744,0.01639344,0,0,0,0,0.1891892,0.25,0.5,0,0,0,0,0.3333333,0,0.1111111,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0.03125,0,0,1,0,0,0,0,0.2419355,0.2121212,0,0.04477612,0,0.09090909,0,0.1333333,0,0,0,0,0,0
IN2_2018,Invaded,2018,Invaded2018,0.2696629,0,0,0,0,0.3846154,0,0.7142857,0,0.4,0.5,0,0.25,0,0,0,0,0,1,0,0.5,0,0,0.08333334,0,0.02770563,0.7213115,0,0,0,0,1,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0,0,0,0,0,0.1666667,0,0.3709677,0.09090909,0,0.05970149,0,0,0,0,0.1403509,0,0,0,0,0
IN3_2018,Invaded,2018,Invaded2018,0,0,0,0.5,0,0.3846154,0,0,0.5,0,0,0,0.125,0,0,1,0,0,0,0,0,0,0,0.5833333,0.00619195,0.04350649,0.06557377,0,0,0,0,0.05405406,0,0,0,1,0,0,0,0,0.5555556,0.5,0.1333333,0,1,0.6363636,0,0,0,0,0,0.00621118,0,0.2,1,0.08333334,1,0,0,0,1,0,0,0,0,0,0,0.002441406,0.15625,0,0,0,0,0,0,1,0.2741936,0.06060606,0,0,0,0.09090909,0.125,0.03333334,0,0,0,0,0,0
IN3_2018,Invaded,2018,Invaded2018,0.01123596,0,0,1,0,0.4615385,0,0.4285714,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0.08333334,0.01857585,0.1264069,0.04918033,0,0.4705882,0,0,0.05405406,0.25,0.5,0,0.3333333,0,0,0,0,0,0,0,0,0.2222222,0.2727273,0,0.03703704,0,0,0,0.01242236,1,0.6,0,0.08333334,0.5,0.1666667,0,0,0,0,0,1,0,0,0,0.001464844,0.90625,0,0,0,0,0,0.75,0.5,0.2903226,0.1515152,0,0.05970149,0,0,0,0.5666667,0.1754386,0,0,0,0,0.07692308
IN5_2018,Invaded,2018,Invaded2018,0.1910112,0,0,0,0,0.6153846,0,0.4285714,0,0.4,0,0,0.25,0.3333333,0,0,0,1,0.3333333,0,0,0,0,1,0.000773994,0.02532468,1,0.2222222,0,0,0,0.05405406,0.25,0,0,0,0,0,0,0.125,0.1111111,1,0.2,0,0,0,0,0.03703704,0,0,0.25,0.01863354,0,0,0,0.1666667,0,0,0,1,0,0,0,0,0,0,0,0,0.09375,0,0,0,0,0,0.5833333,0.5,1,0,0.004784689,0.04477612,0,0,0.125,0.2666667,0.05263158,0,0,0,0,0
IN6_2018,Invaded,2018,Invaded2018,0.1235955,0,0,1,0,0.4615385,0,0,0,0,0.5,0,0.125,0,0,0,0,0,0,0,0,0,0,0.1666667,0.001547988,0.03030303,0,0,0,0,0,0.02702703,0,0.5,0,0,0,0,0,0,0.2222222,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1,1,0.08333334,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,1,0,0.1612903,0.1212121,0.02392345,0.04477612,0,0,0,0.1,1,0,0,0,0,0
IN7_2018,Invaded,2018,Invaded2018,0.2359551,0,0.5,0,0,0.07692308,0,1,0.5,0.2,0,0,1,0,0,0,1,0,0,0,0.5,0,0,0.3333333,0,0.02705628,0.9180328,1,0,0,0,0.3513514,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0.4444444,0.1818182,0,0.03703704,0,0,0.25,0,0,0.2,0,0,0,0.1666667,0,0,0,0,0,0,0,0,0,0,0.21875,0.5,0,0,0,0,0.3333333,1,0.483871,0,0,0.07462686,0,0,0.25,0.5666667,0.4210526,0.025,0,0,0.5,0
IN8_2018,Invaded,2018,Invaded2018,0.1685393,0,0,0,0,0,0,0.8571429,0,1,0,0,0,0.3333333,0,0,1,0.2,0,0,0,0,0,0.08333334,0.000773994,0.1341991,0.1803279,0,0.05882353,0,0,0.2972973,0,0,0,0,0,0,0,0,0,0,0.06666667,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333,0,0.483871,0,0.02870813,0,0,0,0,1,0.0877193,0,0,0,0,0
INOW_2018,Invaded,2018,Invaded2018,0.1460674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0.02012384,0.1069264,0,0,0,0.125,0,0.02702703,0.25,0,0,0,0,0,0,0.125,0.1111111,0,0,0.5,0,0,0,0.4444444,0,1,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2296651,0.08955224,0,0,0,0,0,0.025,0,0,0,0
RES1_2018,Restored,2018,Restored2018,0.02247191,0.03448276,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0.2655844,0,0,0,0,0,0.05405406,0,0.5,0,0,0,0,0,0,0,0,0.06666667,0,0,0,0,0.03703704,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0.0483871,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0.07692308
RES2_2018,Restored,2018,Restored2018,0.03370786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.0998452,1,0,0,0,0,0,0.3783784,0,1,0,0,0.3333333,0,0,0,0,0,0,0,0.1111111,0,0,0.03703704,0,0,0.25,0.00621118,0.3333333,0,0,0.08333334,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.4166667,1,0.09677419,0.06060606,1,0.5970149,0,0.09090909,0,0,0,0,0,0,0,1
RES3_2018,Restored,2018,Restored2018,0.01123596,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.01934985,0.5564935,0,0.1111111,0,0,0,0.05405406,0,0,0,0,0,0,0.3333333,0,0.3333333,0,0,0.3125,0.2222222,0,0,0.07407407,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.0483871,0.03030303,0.01435407,0.2238806,0,0.3636364,0,0,0,0,0,0,0,0.3076923
RES4_2018,Restored,2018,Restored2018,0,0,0,0.5,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.007739938,0.4051948,0,0,0,0,0,0.02702703,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.000488281,0,0,0,0,0,1,0,0,0,0.03030303,0.09569378,0.04477612,0,0,0.375,0,0,0,0,0,0,0.1538462
RES5_2018,Restored,2018,Restored2018,0.06741573,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01083591,0.4222944,0,0,0,0,0,0.02702703,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000976563,0,0,0,0,0,0,0,0,0.01612903,0.03030303,0.1052632,0.5522388,0,0,0,0,0,0,0,0,0,0
RES6_2018,Restored,2018,Restored2018,0.2022472,0,0,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.08333334,0.009287925,0.6993507,0,0,0,0,0,0.08108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07407407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000488281,0,0.5,0,0,0,0,0.25,0,0.06451613,0.1212121,0.01435407,0.3880597,0,0.6363636,1,0,0,0,0,0,0,0.07692308
RES7_2018,Restored,2018,Restored2018,0.03370786,0,0,0,0,0.1538462,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0.0998452,0.6261905,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.3333333,0,0.1333333,0,0,0,0,0.1481481,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.08333334,0,0,0.06060606,0.01913876,1,0,0.2727273,0.25,0.03333334,0,0,0,0,0,0
RES8_2018,Restored,2018,Restored2018,0.04494382,0,0.5,0,0,0.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.0123839,0.4575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111,0,0,0,0,0,0,0.1481481,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483871,0,0.009569378,0.04477612,0,0,0,0,0,0,0,0,0,0
RESOW_2018,Restored,2018,Restored2018,0.4157303,0,0,0,0,0,0,0,0,0.2,0,0,0.125,0,0,0,0,0.2,0,0,0,0.5,0,0,0.001547988,0.07142857,0,0,0,0,0,0.1081081,0,0,0,0,0,0,0,0,0.6666667,0,0,1,0,0,0,0.1111111,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0.06060606,0.06220096,0.05970149,0,0.1818182,0,0,0,0,0,0,0,0
UNM1_2018,Uninvaded,2018,Uninvaded2018,0.08988764,0,0,0,0,0.1538462,0,0,0,0.4,0,0,0.875,0.5,0,0.1666667,0,0.6,0,0.2,0,0,0,0,0.0619195,0.2298701,0,0,0.05882353,0,0,0.2972973,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07407407,0,0,0,0.01863354,0,0,0,0.08333334,0,0.1666667,0,0,0,0,0,0,0,0,0,0.003417969,1,0,0,0,0,0,0,0,0.01612903,0.2424242,0,0.01492537,0,0.09090909,0.125,0.03333334,0,0,0,0,0,0.07692308
UNM2_2018,Uninvaded,2018,Uninvaded2018,0.04494382,0,0,0,0.5,0.1538462,0,0.1428571,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.01934985,0.04220779,0,0,0,0,0,0.05405406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0.2,0,0.4166667,0,0,0.5,0,0,0,0,0,0,0,0,0,0.125,0,0.375,0,0,0,0,1,0,0.06060606,0,0.05970149,0,0,0,0,0,0,0,0,0,0
UNM3_2018,Uninvaded,2018,Uninvaded2018,0.06741573,0,1,0.5,0.5,0.1538462,0,0.1428571,0,0,0.5,0,0.25,0.1666667,0,0.1666667,0,0,0,0,0,0,0,0,0.006965944,0.01103896,0,0,0.1176471,0,0,0,0,0,0,0.1666667,0,0,0,0.125,0,0,0.2,0,0,0,0,0,0,0,0.25,0,0,0,0,0.08333334,0,1,0,1,0,0,0,1,1,0,0,0.002929688,0.59375,0,0,0,0,0,0.08333334,0,0,0.1212121,0,0,0,0,0,0,0,0,0,0,1,0
