ID,Treatment,Habitat,Year,N,Araneae,Acari,Curculionidae,Staphylinidae,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagidae,Latridiidae,Phalacridae,Scirtidae,Coccinellidae,Lampyridae,Chrysomelidae,Nitidulidae,Anthicidae.lar,Coccinellidae Larvae,Erotylidae Larvae,Collembola,Cecidomyiidae,Sciaridae,Scatopsidae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Chaoboridae,Dolichopodidae,Empididae,Psychodidae,Ephydridae,Carnidae,Sciomyzidae,Ulidiidae,Chloropidae,Agromyzidae,Drosophilidae,Muscidae,Anthomyiidae,Calliphoridae,Stratiomyidae,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronidae,Scelionidae,Platygastridae,Braconidae,Ichneumonidae,Pompilidae,Formicidae,Diapriidae,Sphecidae,Crabronidae,Eurytomidae ,Mymaridae,Encyrtidae,Halictidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Lestidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Molannidae,Polycentropodidae,Phryganeidae,Limnephilidae,Psocoptera,Cosmopterigidae,Gracillariidae,Noctuidae,Crambidae
RES2,Treated,Treated,2017,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1442,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,19,0,0,0,0,0,0,0,0,0
RES3,Treated,Treated,2017,4,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2848,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,2,1,1,2,17,34,0,0,0,0,0,0,0,0,0
RES4,Treated,Treated,2017,4,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,797,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,6,36,0,0,0,0,0,0,0,0,0
RES5,Treated,Treated,2017,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,27,0,0,0,0,0,0,0,0,0
RES6,Treated,Treated,2017,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0
RES7,Treated,Treated,2017,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
RES8,Treated,Treated,2017,4,13,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,440,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,8,0,0,0,0,0,0,0,0,0
RESOW,Treated,Treated,2017,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,1,0,0,0,0,0,0
RES1,Treated,Treated,2018,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1292,1227,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1
RES2,Treated,Treated,2018,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129,4620,0,0,0,0,0,14,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,6,2,209,40,0,1,0,0,0,0,0,0,13
RES3,Treated,Treated,2018,6,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25,2571,0,1,0,0,0,2,0,0,0,0,0,1,0,3,0,0,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,15,0,4,0,0,0,0,0,0,4
RES4,Treated,Treated,2018,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1872,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,20,3,0,0,3,0,0,0,0,0,2
RES5,Treated,Treated,2018,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1951,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,22,37,0,0,0,0,0,0,0,0,0
RES6,Treated,Treated,2018,6,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,3231,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,4,4,3,26,0,7,8,0,0,0,0,0,1
RES7,Treated,Treated,2018,6,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,129,2893,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,4,67,0,3,2,1,0,0,0,0,0
RES8,Treated,Treated,2018,6,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0
RESOW,Treated,Treated,2018,5,37,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,330,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,16,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,13,4,0,2,0,0,0,0,0,0,0
UNT1,Uninvaded,Emergent,2017,4,4,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,45,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,65,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UNT2,Uninvaded,Emergent,2017,4,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,12,2,0,3,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UNT3,Uninvaded,Emergent,2017,4,20,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,600,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,9,5,1,0,0,0,0,4,0,0,0
UNT4,Uninvaded,Emergent,2017,4,75,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,7,0,0,0
UNT1,Uninvaded,Emergent,2018,6,5,0,0,0,2,4,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,12,177,45,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,4,4,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,1,7,22,0,2,0,0,1,15,18,40,0,2,0
UNT2,Uninvaded,Emergent,2018,6,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,1,0,0,1,97,10,0,0,0,0,1,0,0,0,3,0,0,0,8,0,1,0,0,6,2,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,1,9,52,2,0,2,0
UNM1,Uninvaded,Meadow,2017,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,88,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,5,2,0,2,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,3,10,0,0,0,0,0,0,3,0,0
