"","X","Site","Treatment","Habitat","Year","TrtYr","HabYr","Cluster3","Cluster4","NMDS1","NMDS2","NMDS3"
"31",31,"IN4","Invaded","Phragmites",2018,"Invaded_2018","Phragmites_2018","7","7",-0.303250387096117,-0.202814563373171,-0.122952936331761
"32",32,"IN5","Invaded","Phragmites",2018,"Invaded_2018","Phragmites_2018","7","7",-0.228169619597111,-0.391116428743398,0.155023145077855
"33",33,"IN6","Invaded","Phragmites",2018,"Invaded_2018","Phragmites_2018","7","7",-0.0821850004374721,-0.511912043061992,0.249730500784486
"34",34,"IN7","Invaded","Phragmites",2018,"Invaded_2018","Phragmites_2018","7","7",-0.278307214272126,-0.340943913811825,-0.0439293195826084
"35",35,"IN8","Invaded","Phragmites",2018,"Invaded_2018","Phragmites_2018","7","7",-0.155760574382944,-0.0790992873109065,0.408693753608358
"36",36,"INOW","Invaded","Phragmites",2018,"Invaded_2018","Phragmites_2018","9","9",0.386687781007862,0.406835723533347,0.36677841575755
"37",37,"RES1","Treated","Treated",2018,"Treated_2018","Treated_2018","9","10",0.449145422493008,-0.301644556603626,-0.394219717571009
"38",38,"RES2","Treated","Treated",2018,"Treated_2018","Treated_2018","9","10",0.20276692722407,-0.255021218499488,-0.315692898593288
"39",39,"RES3","Treated","Treated",2018,"Treated_2018","Treated_2018","9","10",0.110221604235513,-0.130903405224535,-0.396141264902694
"40",40,"RES4","Treated","Treated",2018,"Treated_2018","Treated_2018","9","10",0.475961576665857,-0.430123921458378,-0.115546711003576
"41",41,"RES5","Treated","Treated",2018,"Treated_2018","Treated_2018","9","10",0.542249791754951,0.0851665328346218,-0.217124241068137
"42",42,"RES6","Treated","Treated",2018,"Treated_2018","Treated_2018","9","9",0.420450337144467,0.00517680363092136,0.0119190890672073
"43",43,"RES7","Treated","Treated",2018,"Treated_2018","Treated_2018","9","10",0.315153062835317,-0.14242403985434,-0.0163658036518583
"44",44,"RES8","Treated","Treated",2018,"Treated_2018","Treated_2018","9","10",0.616706097278226,-0.149460568940916,-0.178834615989598
"45",45,"RESOW","Treated","Treated",2018,"Treated_2018","Treated_2018","9","9",0.218177195720305,0.127815619818159,0.254395319230598
"46",46,"UNM1","Uninvaded","Meadow",2018,"Uninvaded_2018","Meadow_2018","7","7",0.0269447954701884,-0.205179756641704,0.258066947211742
"47",47,"UNM2","Uninvaded","Meadow",2018,"Uninvaded_2018","Meadow_2018","1","1",-0.115020931712807,0.18511669506517,0.220266149450635
"48",48,"UNM3","Uninvaded","Meadow",2018,"Uninvaded_2018","Meadow_2018","1","1",-0.511180809341331,-0.252932106798099,0.0462850587199446
"49",49,"UNM4","Uninvaded","Meadow",2018,"Uninvaded_2018","Meadow_2018","7","7",-0.465426058257856,-0.0647472816610477,0.365932262832688
"50",50,"UNM5","Uninvaded","Meadow",2018,"Uninvaded_2018","Meadow_2018","7","7",-0.0777900760319938,-0.454175951933458,-0.175083342963051
"51",51,"UNM6","Uninvaded","Meadow",2018,"Uninvaded_2018","Meadow_2018","7","7",-0.275021788557125,-0.311074214812318,-0.239366898214036
"52",52,"UNOW","Uninvaded","Emergent",2018,"Uninvaded_2018","Emergent_2018","9","9",0.791987276998611,0.101206421417025,0.0715239897197955
"53",53,"UNT2","Uninvaded","Emergent",2018,"Uninvaded_2018","Emergent_2018","7","7",-0.339532652599858,-0.437134060641376,0.0328981190799397
"54",54,"UNT2","Uninvaded","Emergent",2018,"Uninvaded_2018","Emergent_2018","7","7",-0.119762501299904,-0.609923287960029,0.0738072123868649
