"","ID","TrtYr","Treatment","Habitat","Year","N","rich","abundance","H","D1","J"
"23","UNM5","Uninvaded_2018","Uninvaded","Meadow","2018",6,37,227,2.54405435213939,0.839177938636496,0.704545052999117
"24","UNM6","Uninvaded_2018","Uninvaded","Meadow","2018",6,30,618,1.57681662253367,0.595374996072517,0.463606326123622
"25","UNM2","Uninvaded_2017","Uninvaded","Meadow","2017",4,9,329,0.164955621510858,0.0479670365203573,0.0750745386758963
"26","UNM3","Uninvaded_2017","Uninvaded","Meadow","2017",4,12,220,0.76018365515866,0.281611570247934,0.305920407603044
"27","UNM4","Uninvaded_2017","Uninvaded","Meadow","2017",3,17,408,0.469427737769929,0.150014417531719,0.165687394757878
"28","UNOW","Uninvaded_2017","Uninvaded","Typha","2017",4,11,114,1.40656474712162,0.594798399507541,0.586583060185168
"29","UNOW","Uninvaded_2018","Uninvaded","Typha","2018",5,11,1505,0.441888067557213,0.161290051986181,0.184281637555223
"30","RES1","Treated_2017","Treated","Treated","2017",4,13,465,0.36544052632146,0.123963463984276,0.142474753062231
"31","RES2","Treated_2017","Treated","Treated","2017",2,17,1487,0.200939141369184,0.0594174393725672,0.0709227004703804
"32","RES3","Treated_2017","Treated","Treated","2017",4,19,2978,0.272439518696361,0.0850862447290879,0.0925268007331867
"33","RES4","Treated_2017","Treated","Treated","2017",4,16,937,0.698429700028767,0.271358100342951,0.251905266160267
"34","RES5","Treated_2017","Treated","Treated","2017",4,11,803,0.322962780023951,0.119272528764332,0.134685940494411
"35","RES6","Treated_2017","Treated","Treated","2017",4,11,149,0.82232574363932,0.332237286608711,0.342936471399627
"36","RES7","Treated_2017","Treated","Treated","2017",4,8,725,0.16604968215046,0.0541488703923901,0.0798530176598858
"37","RES8","Treated_2017","Treated","Treated","2017",4,15,481,0.476988577349634,0.162015205674249,0.176137272918904
"38","RESOW","Treated_2017","Treated","Treated","2017",3,7,363,0.290370964228545,0.10610993481016,0.149221157189355
"39","RES1","Treated_2018","Treated","Treated","2018",6,15,2536,0.745002102458101,0.506348331658191,0.275106459309682
"40","RES2","Treated_2018","Treated","Treated","2018",6,22,5055,0.422927320572969,0.162260476010179,0.136823523764118
"41","RES3","Treated_2018","Treated","Treated","2018",6,22,2650,0.205603989164244,0.0585973656105374,0.0665160677236453
"42","RES4","Treated_2018","Treated","Treated","2018",5,15,1919,0.161959621870952,0.0482397983359949,0.0598067280307554
"43","RES5","Treated_2018","Treated","Treated","2018",4,11,2037,0.239922438274665,0.0821508041343153,0.10005542819002
"44","RES6","Treated_2018","Treated","Treated","2018",6,18,3327,0.196563759868186,0.0567572526664504,0.0680063937558192
"45","RES7","Treated_2018","Treated","Treated","2018",6,20,3122,0.36124963666498,0.139144161354542,0.12058809121698
"46","RES8","Treated_2018","Treated","Treated","2018",6,12,2151,0.119561438253629,0.034038637062627,0.0481150622957323
"47","RESOW","Treated_2018","Treated","Treated","2018",5,17,425,0.983134035756563,0.386635294117647,0.347003178500156
"48","UNT1","Uninvaded_2017","Uninvaded","Emergent","2017",4,21,156,1.83815797677033,0.733316896778435,0.603759050678842
"49","UNT2","Uninvaded_2017","Uninvaded","Emergent","2017",4,17,51,2.41689101079802,0.876585928489043,0.853056482974852
"50","UNT3","Uninvaded_2017","Uninvaded","Emergent","2017",4,23,720,0.810950614544835,0.300401234567901,0.2586356595477
"51","UNT4","Uninvaded_2017","Uninvaded","Emergent","2017",4,16,256,1.56861660971973,0.72930908203125,0.565758850974677
"52","UNT1","Uninvaded_2018","Uninvaded","Emergent","2018",6,34,387,2.12941003945524,0.757513237051726,0.603854887947687
"53","UNT2","Uninvaded_2018","Uninvaded","Emergent","2018",6,27,235,2.09130287695606,0.76961521050249,0.634528637787656
"54","UNM1","Uninvaded_2017","Uninvaded","Meadow","2017",4,23,159,1.9139237067909,0.676951069973498,0.610405752645837
