ID,Treatment,Date,Year,N,YrCol,Araneae,Acari,Curculionida,Staphylinida,Carabidae,Anthicidae,Throscidae,Erotylidae,Cryptophagid,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Lampyridae,Anthicidae.L,Cocc.Larvae,Erotylidae.L,Collembola,Cecidomyiida,Sciaridae,Phoridae,Ceratopogoni,Chironomidae,Culicidae,Chaoboridae,Dolichopodid,Ephydridae,Carnidae,Sciomyzidae,Chloropidae,Agromyzidae,Muscidae,Anthomyiidae,Stratiomyida,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronida,Scelionidae,Braconidae,Ichneumonida,Pompilidae,Diapriidae,Sphecidae,Crabronidae,Eurytomidae,Mymaridae,Encyrtidae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Hemerobiidae,Libellulidae,Lestidae,Coenagrionid,Thysanoptera,Hydroptilida,Leptoceridae,Polycentropo,Phryganeidae,Psocoptera,Cosmopterigi,Gracillariid,Noctuidae,Crambidae
IN7,Invaded,04-Jul-18,2018,Col._5,2018Col._5,0.2,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.01452785,0.02857143,0,0,0.6363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1333333,0,0,0.09090909,0,0,1,0,0,0,0
IN8,Invaded,04-Jul-18,2018,Col._5,2018Col._5,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.2276029,0.1142857,0,0,0.6363636,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2666667,0,0,0,0,0,0.2352941,0,0,0,0
INOW,Invaded,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04255319,0.03874092,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05194805,0,0,0,0,0,0,0,0
RES1,Treated,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212766,0.03874092,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333334,0,0,0,0,0,0,0,0.01298701,0,0,0,0,0,0,0,0
RES2,Treated,04-Jul-18,2018,Col._5,2018Col._5,0.1333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212766,0.3753027,0,0,0,0.3636364,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06666667,1,0.1363636,0,0,0,0,0,0,0
RES3,Treated,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2324455,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0.03846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1818182,0,0,0,0,0,0,0
RES4,Treated,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04842615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06493507,0,0,0,0,0,0,0,0
RES5,Treated,04-Jul-18,2018,Col._5,2018Col._5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5060533,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666667,0.1428571,0.1818182,0,0,0,0,0,0,0
RES6,Treated,04-Jul-18,2018,Col._5,2018Col._5,0.2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.0212766,0.7288136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,0,0,0.1333333,0,0.3181818,0,1,0,0,0,0,1
RES7,Treated,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2227603,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01298701,1,0,0,0,0,0,0,0
RES8,Treated,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968523,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.03846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909,0,0,0,0,0,0,0
RESOW,Treated,04-Jul-18,2018,Col._5,2018Col._5,0.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02421308,0,0,0,0.09090909,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01298701,0,0,0,0,0,0,0,0
UNM1,Uninvaded,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,0,1,0,1,0,0,0,0.212766,0.8280872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001733102,1,0,0,0,0,0,0.06666667,0,0,0.04545455,0,0,0,0,0,0,1
UNM2,Uninvaded,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1743341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.03333334,0,0,0,0,1,0,0,0,0.04545455,0,0,0,0,0,0,0
UNM3,Uninvaded,04-Jul-18,2018,Col._5,2018Col._5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.02663438,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0.3333333,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM4,Uninvaded,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01210654,0,0,0,0.09090909,0,0,0,0,0,0,0,0,0,0,0,0.03846154,0,0,0,0.5,0,0,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UNM5,Uninvaded,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0.03389831,0,0,0,0.09090909,0,0,0,1,0,0,0,0,0,0,0,0.07692308,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.01559792,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UNM6,Uninvaded,04-Jul-18,2018,Col._5,2018Col._5,0.1333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3825666,0,0,0,0.09090909,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.06666667,0,0,1,0,0,0,0,0,0
UNOW,Uninvaded,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04255319,0.1912833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0.1363636,1,0,0,0,0,0,0
UNT1,Uninvaded,04-Jul-18,2018,Col._5,2018Col._5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03389831,0.2285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333333,0,0,0,0,0.4705882,1,0,1,0
UNT2,Uninvaded,04-Jul-18,2018,Col._5,2018Col._5,0.1333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.002421308,0.1714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666667,0.01298701,0,0,0,0.5294118,0,0,0,0
