"","NMDS1","NMDS2","X.alltaxa12.vectors..r","X.alltaxa12.vectors..pvals"
"Anthomyzidae",-0.797652689320601,0.603117059300774,0.0874983139245747,0.079
"Drosophilida",-0.685363088563836,0.728201508398767,0.173030412710348,0.005
"Muscidae",-0.774490390185431,0.632585674442932,0.105001615653316,0.041
"Anthomyiidae",0.019002839277641,-0.999819429746886,0.17327584282182,0.006
"Calliphorida",-0.458469253807816,-0.888710269611477,0.216754142780993,0.001
"Stratiomyida",-0.926291247425878,-0.376808339799175,0.0931800370994404,0.072
"Tabanidae",0.707202930053067,0.707010619244404,0.0367722404975041,0.422
"Tipulidae",-0.445637588699582,-0.895213460319952,0.136030087276302,0.015
"Dixidae",-0.566023023483075,-0.824389432784699,0.193613552973673,0.002
"Syrphidae",-0.670851397714597,-0.741591802937689,0.150965577701399,0.007
"Caenidae",0.946509904959373,0.322674758563167,0.233479014604962,0.001
"Baetidae",0.805449670639199,-0.592664178154211,0.0136196663618694,0.73
"Ephemerellid",0.842408141927434,0.538839978485606,0.114704103648765,0.022
"Pteromalidae",-0.756542131118178,-0.653944954750142,0.199111116724337,0.005
"Eulophidae",-0.729890437772211,0.683564151231389,0.159340196227994,0.004
"Aphelinidae",-0.749680406950093,0.661800035837974,0.0346860404805694,0.437
"Ceraphronida",-0.541432780916957,-0.840744041756188,0.159241690607784,0.006
"Megaspilidae",-0.212458741040379,-0.977170038097535,0.121385835146848,0.016
"Scelionidae",-0.999998753150742,0.00157914437648851,0.195617423505125,0.001
"Platygastrid",-0.216156170684701,-0.976358801811571,0.13174959873705,0.022
"Braconidae",-0.999952690920357,0.00972707156014304,0.19420779631045,0.002
"Ichneumonida",-0.435231365687033,0.900318642660586,0.277854692449387,0.002
"Pompilidae",-0.604365162289251,-0.796707443551952,0.128805253540284,0.034
"Formicidae",-0.756418716399089,-0.654087704731677,0.0550247285527173,0.255
"Diapriidae",-0.696453682895068,0.717601747198191,0.0317701645364452,0.445
"Sphecidae",-0.336542151348231,0.941668402552567,0.0495274986300718,0.264
"Eurytomidae",-0.997535254317122,-0.0701670606087641,0.0942601926022017,0.082
"Mymaridae",-0.18922807199367,-0.981933163086754,0.0588836331549443,0.213
"Encyrtidae",-0.763084590692563,-0.646298620954404,0.0542961972324353,0.243
"Halictidae",0.267026932774484,0.963689066646007,0.023848099487604,0.601
"Aphididae",-0.994779792293541,-0.102044915818573,0.0501543820376894,0.293
"Cicadellidae",-0.631562664839585,-0.775324835395283,0.161176731515664,0.01
"Anthocoridae",-0.81213015521135,-0.583476315711606,0.00704588201185871,0.845
"Miridae",-0.72997067923101,-0.683478461594086,0.0847193205747408,0.108
"Coccoidea",-0.851158198413591,0.524909250512247,0.0259533749913953,0.562
"Hemerobiidae",-0.838479359134388,0.544933357673749,0.236615106364166,0.001
"Sisyridae",0.683190398650128,-0.730240288666874,0.176803922473301,0.001
"Libellulidae",-0.442080610776347,-0.896975324953598,0.114325462246865,0.048
"Lestidae",-0.312148309338138,-0.950033385190932,0.135961577244847,0.024
"Coenagrionid",-0.380330308610111,-0.924850721118029,0.225659474551704,0.001
"Thysanoptera",-0.574101754208197,-0.818783961625452,0.140110815330478,0.008
"Hydroptilida",0.941610785880172,-0.336703323289397,0.0749696773629224,0.098
"Leptoceridae",0.999488526765054,0.0319794444139052,0.167259266971431,0.013
"Molannidae",0.997351386578442,-0.0727338414361515,0.0959872796129671,0.037
"Polycentropo",0.966066196317,-0.258294607635553,0.164293061255845,0.006
"Phryganeidae",0.707603312260683,-0.706609901202715,0.141993462598348,0.013
"Limnephilida",-0.457531844069263,-0.889193236401728,0.155124626166624,0.007
"Psocoptera",-0.26696034273698,-0.963707515486807,0.216918792173078,0.001
"Cosmopterigi",-0.610283648653386,-0.792182976455762,0.0359673025424671,0.48
"Gelechiidae",-0.75378393776868,-0.657122344135355,0.0604057168156181,0.238
"Gracillariid",-0.913145628137581,0.407633489562895,0.0164643769675285,0.761
"Noctuidae",-0.452345339415885,-0.891842863910862,0.183386834557723,0.005
"Crambidae",0.456457835618285,-0.889745044550781,0.0419829549739917,0.358
