Sites,Treatment,Date,Year,N,YrCol,Araneae,Curculionida,Staphylinida,Carabidae,Anthicidae,Erotylidae,Latridiidae,Phalacridae,Scirtidae,Coccinellida,Nitidulidae,Collembola,Sciaridae,Phoridae,Ceratopogoni,Chironomidae,Dolichopodid,Ephydridae,Carnidae,Sciomyzidae,Chloropidae,Agromyzidae,Drosophilida,Muscidae,Anthomyiidae,Syrphidae,Pteromalidae,Eulophidae,Platygastrid,Formicidae,Halictidae,Cicadellidae,Miridae,Coenagrionid,Thysanoptera,Hydroptilida,Limnephilida
RES3,Treated,20-May-18,2018,Col._1,2018Col._1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4491018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1666667,0,0
RES4,Treated,20-May-18,2018,Col._1,2018Col._1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.01041667,0.3004899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333,0
RES6,Treated,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01041667,0.3805117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES7,Treated,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.9270833,0.5470877,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
RES8,Treated,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.01041667,0.491018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RESOW,Treated,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.03756124,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.1666667,0
UNM1,Uninvaded,20-May-18,2018,Col._1,2018Col._1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009798585,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1666667,0,0
UNM2,Uninvaded,20-May-18,2018,Col._1,2018Col._1,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0.01034295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1666667,0,0
UNM3,Uninvaded,20-May-18,2018,Col._1,2018Col._1,0.5,0,0.5,1,0.5,1,0,0,0,1,0,0,0,0,0,0.004354926,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333333,0,0
UNM4,Uninvaded,20-May-18,2018,Col._1,2018Col._1,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.01034295,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
UNM5,Uninvaded,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0.004899292,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1666667,0,0
UNM6,Uninvaded,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0.022319,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.3333333,0,0
UNT2,Uninvaded,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.02504083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.1666667,0,0
UNT2,Uninvaded,20-May-18,2018,Col._1,2018Col._1,0,0,0,0,0.75,0,0,1,0,0,0,1,0,0,0,0.02014153,0,0,0,0,0.6,0,0,0,1,1,1,0,0,0,0,0,0,0,0.1666667,0,0.6923077
