"","Site","TrtYr","Treatment","HabYr","Year","Habitat","NMDS1","NMDS2","NMDS3"
"32","IN5","Invaded_2018","Invaded","Phragmites_2018","2018","Phragmites",-0.227873957655277,-0.391251868794754,0.155337599721424
"33","IN6","Invaded_2018","Invaded","Phragmites_2018","2018","Phragmites",-0.081868203174122,-0.511882323038481,0.250556960868491
"34","IN7","Invaded_2018","Invaded","Phragmites_2018","2018","Phragmites",-0.278598326218776,-0.341279948160554,-0.0450280320133568
"35","IN8","Invaded_2018","Invaded","Phragmites_2018","2018","Phragmites",-0.15610782143144,-0.0786935205811748,0.4087628262105
"36","INOW","Invaded_2018","Invaded","Phragmites_2018","2018","Phragmites",0.386646757438707,0.406432666056445,0.367759764439395
"37","RES1","Treated_2018","Treated","Treated_2018","2018","Treated",0.449844473929713,-0.299705616562399,-0.395205374251944
"38","RES2","Treated_2018","Treated","Treated_2018","2018","Treated",0.203191179476554,-0.255168270686298,-0.315140466050606
"39","RES3","Treated_2018","Treated","Treated_2018","2018","Treated",0.110210235575722,-0.131424296093102,-0.396159246200921
"40","RES4","Treated_2018","Treated","Treated_2018","2018","Treated",0.476680733961109,-0.429253054147414,-0.116840224590083
"41","RES5","Treated_2018","Treated","Treated_2018","2018","Treated",0.542438665017253,0.0869511590056166,-0.216284365870572
"42","RES6","Treated_2018","Treated","Treated_2018","2018","Treated",0.420544958279337,0.0051906172739688,0.012900080364902
"43","RES7","Treated_2018","Treated","Treated_2018","2018","Treated",0.315417931912856,-0.141876168385042,-0.0158349732780684
"44","RES8","Treated_2018","Treated","Treated_2018","2018","Treated",0.61745553727805,-0.145892210084975,-0.180248077525539
"45","RESOW","Treated_2018","Treated","Treated_2018","2018","Treated",0.217949784092907,0.128292845795661,0.254839897546398
"46","UNM1","Uninvaded_2018","Uninvaded","Meadow_2018","2018","Meadow",0.0270876780406774,-0.205084158493435,0.258405793024053
"47","UNM2","Uninvaded_2018","Uninvaded","Meadow_2018","2018","Meadow",-0.115419231038989,0.185381599626323,0.219975683801827
"48","UNM3","Uninvaded_2018","Uninvaded","Meadow_2018","2018","Meadow",-0.511091403145057,-0.253632547068848,0.046194277834852
"49","UNM4","Uninvaded_2018","Uninvaded","Meadow_2018","2018","Meadow",-0.465765486834998,-0.0650540212706782,0.365877183078969
"50","UNM5","Uninvaded_2018","Uninvaded","Meadow_2018","2018","Meadow",-0.0757246620409423,-0.455508751378987,-0.170911870137366
"51","UNM6","Uninvaded_2018","Uninvaded","Meadow_2018","2018","Meadow",-0.274265553191669,-0.31188711361987,-0.239554082736652
"52","UNOW","Uninvaded_2018","Uninvaded","Emergent_2018","2018","Emergent",0.79191046105989,0.101508472754884,0.0740436160255658
"53","UNT2","Uninvaded_2018","Uninvaded","Emergent_2018","2018","Emergent",-0.338743184316227,-0.437887973045503,0.0338640332885142
"54","UNT2","Uninvaded_2018","Uninvaded","Emergent_2018","2018","Emergent",-0.119330400649912,-0.610373520218862,0.0743455661987054
