ID,Habitat,Sample Type,Collection date,Water_Depth,Litter,Standing_Dead,Oligochaetae,Hirudinea,Hydrozoa,Bivalvia,Gastropoda,Nematoda,Platyhelminthes,Acari,Araneae,Isopoda,Amphipoda,Ostracoda,Collembola,Dytiscidae,Staphylinidae,Hydrophilidae,Lampyridae,Curculionidae,Scirtidae,Chironomidae,Ceratopogonidae,Culicidae,Dolichopodidae,Sciomyzidae,Tipulidae,Ephydridae,Stratiomyidae,Cecidomyiidae,Cyclorrhapha,Caenidae,Pleidae,Thysanoptera,Crambidae,Corduliidae,Coenagrionidae,Limnephilidae,Leptoceridae
RES3,Treated,Vegetation,15-May-18,29.7,8.3,2,0.2331966,0,0.9268293,0.1020408,0.221328,0.07961505,0,0.1610738,0,0.01043478,0.05882353,0.09589041,0,0.09090909,0,0,0,0,0,0.6530841,0.04925373,0,0,0,0,1,0,0,0,0.08036739,0,0,0,0,0.6666667,0,0.4634146
RES4,Treated,Vegetation,15-May-18,35.3,0,0,0.04386242,0,0.1951219,0.3061225,0.3179075,0.05949256,0,0.03739214,0,0.06608696,0.05882353,0.09589041,0,0,0,0,0,0,0,0.528972,0.07164179,0,0,0,0,0,0,0,0,0.07462686,0,0,0,0,0,0,0.1463415
RES5,Treated,Vegetation,15-May-18,21.7,0,0,0.03534238,0,0.02439024,0.5510204,0.1810865,0.4295713,0,0,0.1,0.0226087,0,0.1945205,0,0,0,0,0,0,0,0.0893458,0.02686567,0,0,0,0,0,0,0.6666667,0,0.1389208,0.5,0,0,0,0,0,0.2195122
RES6,Treated,Vegetation,15-May-18,51,1.7,0.9,0.1786052,0,0.2682927,1,0.1448692,0.09011374,0.2857143,0.02780441,0.1,0.8973913,1,0.1068493,0,0.09090909,0,0,0,0,0,0.208972,0.05970149,0,0,0,0,0,1,0,0,0.4408726,0,0,0,1,0,0,0.1707317
RES7,Treated,Vegetation,15-May-18,24,0,0.1,0.4162196,0.25,1,0.5102041,1,1,0,0.1342282,0,1,0.8235294,1,0,0.1818182,0,0,0,0,0,0.4145795,0.1970149,0,0,0.5,0,0,0,0.3333333,0,0.206659,0,0,0,0,0,0.3333333,0.07317073
RES8,Treated,Vegetation,15-May-18,23.2,0.8,0.3,0.1662985,0.75,0.3902439,0.4489796,0.1297787,0.04374453,0.1428571,0.0527325,0,0.7008696,0.5882353,0.430137,0,1,0,0,0,0,0,0.2302804,0.03880597,0,0,0,0,0,0,0,0,0.2078071,0.5,0,0.5,0,0,0,0.09756097
RESOW,Treated,Vegetation,15-May-18,49.7,0,0,0.003471127,0.25,0,0,0.002012072,0,0,0.001917546,0,0.008695652,0.1176471,0,0,0,0,0,0,0,0,0.00411215,0.001492537,0,0,0,0,0,0,0,0,0.008036739,0,0,0,0,0,0,0
UNM1,Remnant,Vegetation,11-May-18,16.3,16.7,3.3,0.02208899,0,0,0,0.008048289,0.0183727,0,0.2416107,0.6,0,0,0.002739726,1,0,0.8,0.5555556,0.2258064,0,0,0.01046729,0.01343284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM2,Remnant,Vegetation,14-May-18,16.7,33.3,0.1,0.002208899,0,0,0.02040816,0.09356137,0.005249344,0,0.1246405,1,0.006956522,0.2352941,0.005479452,0.3265306,0,1,0.3333333,0.06451613,0,0,0.03813084,0.01343284,0,0,0.5,0.1,0,0,0.6666667,0,0,0,0,1,0,0,0,0.04878049
UNM3,Remnant,Vegetation,14-May-18,7,41.7,10.8,0.01104449,0,0,0,0.0362173,0.08048994,0,0.0105465,0.6,0.01565217,0,0,0.04081633,0.09090909,0,0,0.06451613,0,0,0.008598131,0.01641791,0,0,0,0,0,1,0.3333333,0,0,0.5,1,0,0,0,0,0
UNM4,Remnant,Vegetation,14-May-18,15,1.7,0,0.02903124,0,0,0,0.04527163,0.000874891,0,0.1591563,0.1,0.0173913,0,0,0.6326531,0,0.6,1,0.03225806,0,0,0.01121495,0.01791045,0,0,0,0,0,1,1,1,0,0,0,0.5,0,0,0,0
UNM5,Remnant,Vegetation,14-May-18,34.8,24.5,0.8,0.02082676,0.25,0.1951219,0.122449,0.0472837,0.05249344,0,0.2032598,0,0.02608696,0,0.03835616,0.2653061,0,0,0.1111111,0.06451613,0.5,1,0.01457944,0.02238806,0.25,0,1,0.2,0,1,0.3333333,0,0.003444317,0,0.6666667,0,0.5,0.3333333,0.3333333,0
UNM6,Remnant,Vegetation,14-May-18,36.2,0.8,1.2,0.005048912,0,0,0.04081633,0.08953723,0.006124234,0,0.06136146,0.1,0.04521739,0.1176471,0,0.02040816,0,0,0.1111111,1,1,0.25,0.03214953,0.0119403,0,0,0,1,0.6,0,0.6666667,0,0.004592422,0,1,0,0,1,0.5,0
UNT1,Remnant,Vegetation,14-May-18,24.7,0,14.2,0.07636479,0,0,0.4489796,0.01006036,0.1023622,1,0.1418984,0.2,0.006956522,0.05882353,0.04383562,0.2244898,0,0.2,0,0.1612903,0,0.25,0.06317757,0.007462686,0,1,0,0.4,0,0,0,0,0,0,0,0,0,0,1,0.07317073
UNT2,Remnant,Vegetation,14-May-18,32.8,0,52.7,0.02398233,0,0,0.4285714,0.005030181,0.06999125,0,0.06999041,0,0.04,0.1764706,0.03287671,0.3673469,0,0,0,0,0,0,0.02504673,0.002985075,0,1,0,0.2,0,0,0.3333333,0,0,0,0,0.5,0,0,0,0
