"","Araneae","Acari","Curculionidae","Staphylinidae","Anthicidae","Erotylidae","Cryptophagidae","Latridiidae","Coccinellidae","Chrysomelidae","Collembola","Cecidomyiidae","Phoridae","Ceratopogonidae","Chironomidae","Culicidae","Dolichopodidae","Empididae","Psychodidae","Ephydridae","Carnidae","Ulidiidae","Chloropidae","Drosophilidae","Muscidae","Anthomyiidae","Stratiomyidae","Tipulidae","Dixidae","Syrphidae","Caenidae","Pteromalidae","Eulophidae","Aphelinidae","Scelionidae","Platygastridae","Braconidae","Diapriidae","Aphididae","Cicadellidae","Anthocoridae","Miridae","Hemerobiidae","Libellulidae","Coenagrionidae","Thysanoptera","Hydroptilidae","Leptoceridae","Molannidae","Polycentropodidae","Phryganeidae","Limnephilidae","Psocoptera","Noctuidae","Crambidae"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.281362007168459,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.00649350649350649,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0
"12",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.102150537634409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0,0,0,0
"13",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331541218637993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649350649350649,0.5,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.04,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241935483870968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187275985663082,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1084229390681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987012987013,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0.0851063829787234,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,1,0.0256410256410256,0.032258064516129,0,0.7,0,0,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.051948051948052,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100358422939068,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,1,0,0,0,0,0,0.0512820512820513,0.0770609318996416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512820512820513,0.329749103942652,0,0.7,0,0,0.272727272727273,0.666666666666667,0,0,1,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313620071684588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.212765957446809,0.04,1,1,0.5,0,0,0,0
"22",0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.205128205128205,0.0241935483870968,0.142857142857143,0,0,0,0.181818181818182,0,0,0,0.333333333333333,0,0,0.5,0,0,0,0,0,0.0454545454545455,0,0,0,0.4,0,0.0769230769230769,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,0,0,0,0,0,0,0,0,0,0,0.0512820512820513,0.00716845878136201,0.142857142857143,0.1,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0.012987012987013,0,0.181818181818182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0.948717948717949,0.295698924731183,0,0,0,0,0.0909090909090909,0,0,0.25,0,0.142857142857143,0,0,0,0,0,0,0,0.012987012987013,0,0,0,0,0,0,0.333333333333333,1,0,0,0,0,0.166666666666667,0,0.08,0.142857142857143,0,0,0,0,0,0
"25",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.102564102564103,0.0483870967741935,0.142857142857143,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.279220779220779,0,0,0,0,0,0,0.333333333333333,1,0,0,0,0,0.5,0.0212765957446809,0,0,0,0,0,0,0,0
"26",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0.000896057347670251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0
"27",0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388888888888889,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.0017921146953405,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0.277777777777778,0,0,0,0,0,0,0,0,0,0
"29",0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00537634408602151,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0.00649350649350649,1,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0.04,0,0,0,0,0,0,0
"30",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268817204301075,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.333333333333333,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0
"31",0.25,0,0,0,0,0,1,0,1,0,0,0,0.333333333333333,0,0.0017921146953405,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"32",0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0501792114695341,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.192652329749104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.00649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0
"34",0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0.205128205128205,0.0761648745519713,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0.692307692307692,0.57078853046595,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0.00649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0.2,0,0,0,0,0.333333333333333
"36",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.102564102564103,0.25089605734767,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0.111111111111111,0,0.0212765957446809,0.32,0,0,0,0,0,0,1
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0.128205128205128,0.406810035842294,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851063829787234,0.12,0,0,0,0,0,0,0.333333333333333
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564102564103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425531914893617,1,0,0,0,0,0,0,0
"39",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0512820512820513,0.28673835125448,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.166666666666667,0,0.24,0,0.4,1,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.39336917562724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.08,0,0,0.5,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196236559139785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0.109318996415771,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638297872340425,0.08,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0.179487179487179,0.127240143369176,0,0,0,0,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.00649350649350649,0,0.0909090909090909,0,0.2,0,0.0769230769230769,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0.00627240143369176,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.04,0,0,0,0,0,0,0
"45",0.25,0,1,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"46",0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0017921146953405,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.00649350649350649,0,0.0909090909090909,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017921146953405,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0.00649350649350649,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00896057347670251,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0.00649350649350649,0,0,0,0.2,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.2,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390681003584229,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638297872340425,0.28,0,0,0.5,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0.128205128205128,0.00268817204301075,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"51",0.5,0,0,0,0,0,0,0,0,0,1,0,0,0.0256410256410256,0.00627240143369176,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0.5,0,0.625,0,0,0,0.00649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
