"","Sites","ID","Treatment","Date","Year","N","YrCol","NMDS1","NMDS2","NMDS3"
"24","UNT3","UNT3","Uninvaded","19-Jun-17",2017,"Col._1","2017Col._1",0.139801332653168,-0.04790215667304,-0.288987464694469
"25","UNT4","UNT4","Uninvaded","19-Jun-17",2017,"Col._1","2017Col._1",-0.0810367423112743,-0.091826731609962,-0.0660762161102719
"26","IN1","IN1","Invaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.278694656577597,-0.246406343933744,0.193782430190737
"27","IN2","IN2","Invaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.429998893144825,-0.230840821463813,0.0410674129018437
"28","IN3","IN3","Invaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.189652122195175,0.0970590304364648,0.450569422286337
"29","IN4","IN4","Invaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.241085850253708,-0.353374052137954,0.0687466389773645
"30","IN5","IN5","Invaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.260253449019256,0.0110448756026354,0.166874279426836
"31","IN7","IN7","Invaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.243192011880974,0.184487074929021,0.207134233022103
"32","IN8","IN8","Invaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.237158118112366,-0.0785169786879477,0.316009209541593
"33","INOW","INOW","Invaded","16-Jun-18",2018,"Col._3","2018Col._3",0.264826719882106,0.0774794611907548,0.077247224251639
"34","RES1","RES1","Treated","16-Jun-18",2018,"Col._3","2018Col._3",0.0706762661376333,0.184179251851179,0.302713028467701
"35","RES2","RES2","Treated","16-Jun-18",2018,"Col._3","2018Col._3",0.282755826915321,-0.0326391023844748,-0.227029668116248
"36","RES3","RES3","Treated","16-Jun-18",2018,"Col._3","2018Col._3",0.0580004053893393,0.00387400961410342,0.137938551471567
"37","RES4","RES4","Treated","16-Jun-18",2018,"Col._3","2018Col._3",0.380016889807643,0.12839881221614,-0.0245321570169113
"38","RES5","RES5","Treated","16-Jun-18",2018,"Col._3","2018Col._3",0.382124431904772,0.0990806237136439,-0.133505264447188
"39","RES6","RES6","Treated","16-Jun-18",2018,"Col._3","2018Col._3",0.0687763057805369,-0.123646330744933,-0.00576798596049056
"40","RES7","RES7","Treated","16-Jun-18",2018,"Col._3","2018Col._3",0.277718937317596,-0.0485274284197067,-0.0523676088237944
"41","RES8","RES8","Treated","16-Jun-18",2018,"Col._3","2018Col._3",0.267779505956638,0.16034010661606,0.209502981051475
"42","RESOW","RESOW","Treated","16-Jun-18",2018,"Col._3","2018Col._3",0.37194102507559,-0.0600665391341074,0.212460712715629
"43","UNM1","UNM1","Uninvaded","16-Jun-18",2018,"Col._3","2018Col._3",0.0774718135564045,0.122301803642585,-0.0761666742184073
"44","UNM2","UNM2","Uninvaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.130084636581942,-0.264110711567358,-0.0628516421636015
"45","UNM3","UNM3","Uninvaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.438831336300704,0.172014093096403,0.163763550541721
"46","UNM4","UNM4","Uninvaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.180696371964865,-0.144526925380304,-0.254900868080329
"47","UNM5","UNM5","Uninvaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.0564095022943868,-0.368055116688291,-0.405175885347797
"48","UNM6","UNM6","Uninvaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.245533151931967,-0.298355816395815,-0.074755128029957
"49","UNOW","UNOW","Uninvaded","16-Jun-18",2018,"Col._3","2018Col._3",0.413075882402367,0.0104397515954222,-0.0557405360640343
"50","UNT1","UNT1","Uninvaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.227912856776513,0.391850490620446,0.21740219333568
"51","UNT2","UNT2","Uninvaded","16-Jun-18",2018,"Col._3","2018Col._3",-0.417781458456975,-0.08202385129057,0.213101122692197
