,ID,Treatment,Date,Year,N,YrCol,Araneae,Acari,Anthicidae,Erotylidae,Latridiidae,Coccinellidae,Lampyridae,Chrysomelidae,Coccinellidae.Larvae,Erotylidae.Larvae,Collembola,Cecidomyiidae,Phoridae,Ceratopogonidae,Chironomidae,Culicidae,Chaoboridae,Dolichopodidae,Empididae,Ephydridae,Carnidae,Sciomyzidae,Chloropidae,Muscidae,Calliphoridae,Stratiomyidae,Tabanidae,Tipulidae,Dixidae,Syrphidae,Caenidae,Pteromalidae,Eulophidae,Aphelinidae,Ceraphronidae,Scelionidae,Platygastridae,Braconidae,Ichneumonidae,Formicidae,Diapriidae,Sphecidae,Crabronidae,Mymaridae,Aphididae,Cicadellidae,Anthocoridae,Miridae,Libellulidae,Lestidae,Coenagrionidae,Thysanoptera,Hydroptilidae,Leptoceridae,Molannidae,Polycentropodidae,Phryganeidae,Psocoptera,Cosmopterigidae,Gracillariidae,Noctuidae,Crambidae
41,RES8,Treated,23-Jul-18,2018,Col._6,2018Col._6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,RESOW,Treated,23-Jul-18,2018,Col._6,2018Col._6,36,0,0,0,1,1,0,0,1,0,0,0,0,0,27,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0
43,UNM1,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,4,0,0,0,0,5,2,0,0,0,0,0,0,1,366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
44,UNM3,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
45,UNM4,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,1,0,0,0,1,0,1,0,0,0,0,0,0,1,20,0,0,0,0,2,3,0,1,0,1,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,1,0,784,19,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1
46,UNM5,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,2,0,0,0,2,0,5,0,0,0,1,0,0,0,34,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
47,UNM6,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,71,0,0,0,0,0,2,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
48,UNOW,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
49,UNT1,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,5,0,0,1,0,0,0,1,0,0,0,0,0,0,41,29,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,10,32,0,0,0
50,UNT2,Uninvaded,23-Jul-18,2018,Col._6,2018Col._6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0
51,UNM2,Uninvaded,23-Jul-18,2018,Col.6,2018Col.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
